L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-0.88245,2.24121,0.0113988,1.58988,-0.591116,0.956045,-2.86774,-1.65855,2.42873,-2.8965,-1.63178,-0.968198,-1.84459,0.58108
-0.767555,0.945148,-0.539921,1.03951,-1.08527,0.863523,-3.37533,-0.965241,1.46195,-3.47193,-0.999302,-0.367103,-1.57487,0.253345
-0.175059,-1.22348,-0.907064,-0.653813,-0.946012,0.0423739,-1.26366,-0.0794166,-0.63088,-2.72918,0.239592,-0.0760763,-0.109931,0.154678
0.57013,-2.25382,-0.782401,-0.7913,-0.31671,-0.350352,1.3157,0.657474,-1.82064,0.0610774,1.19009,-0.250429,1.18006,0.672398
0.617619,-1.83439,-0.547793,0.0576524,0.0647664,-0.129309,1.18571,0.78209,-1.55614,1.75368,1.52833,-0.399856,1.26387,1.22955
-0.464527,-0.872766,-0.786235,-0.700883,-0.584472,0.0570409,-2.24857,-0.117609,-0.593576,0.249719,0.43129,-0.638771,0.187592,0.915695
-1.70356,-0.515187,-1.36106,-2.17902,-1.6334,0.400603,-5.28344,-1.38871,-0.282402,-2.01267,-1.61497,-1.55227,-1.26494,0.189501
-1.85134,0.295805,-0.992461,-2.17693,-2.0037,0.577457,-4.69737,-2.03045,0.213048,-2.67938,-2.32413,-1.96014,-2.04076,-0.281673
-0.972022,0.973027,-0.127123,-0.676071,-1.18027,0.322061,-2.94898,-1.53559,0.649524,-1.99719,-1.33418,-1.19889,-1.90556,-0.569774
0.177556,0.345594,0.362309,0.828318,0.135802,0.0980779,-1.57105,-0.00547321,0.0558198,-0.772402,-0.473324,0.149946,-1.31515,-0.376006
0.902799,-0.605254,0.492882,0.538178,0.990884,0.0228813,1.32608,1.6292,-0.693522,1.69931,-0.674783,1.56894,0.0187571,0.287504
0.57052,-1.05182,0.411577,-0.947567,0.830083,-0.243088,3.96205,2.2157,-0.91552,3.67429,-0.716992,2.75489,1.85982,0.460668
0.223946,-0.557005,0.700171,-0.64994,0.40519,-1.32383,4.72812,2.44825,-0.276183,4.16255,0.513957,3.27315,2.88637,-0.630586
0.463488,-0.110543,0.755288,0.522832,0.696448,-2.61203,5.14963,2.50584,0.249614,4.05971,1.37166,2.02611,2.49925,-2.25182
-0.0941827,-0.528081,0.220875,-1.16869,1.20933,-2.16575,3.80793,0.702711,-0.239247,2.03372,-0.265924,-0.35712,1.17572,-2.4178
-0.890828,-0.757563,-0.158253,-3.33754,1.24331,-0.197841,0.188591,-1.55974,-0.804817,-1.13964,-2.36083,-1.64372,-0.23876,-0.828592
-0.535434,-0.0915722,-0.304318,-1.29727,0.292006,1.07894,-2.0416,-1.65749,-0.460773,-2.29176,-1.59326,-1.15541,-1.49124,0.664709
0.58532,0.662279,-0.361328,2.31053,-0.852576,1.2475,-1.93155,-0.0964682,0.557803,-1.15781,0.205853,-0.203166,-2.42818,1.38408
1.22021,0.763757,-0.474501,3.02619,-1.28224,1.13063,-2.13124,0.906983,1.17767,0.0454191,0.293335,0.254472,-2.49693,1.49219
0.803227,0.713965,-0.560898,1.56508,-1.68073,0.735039,-2.68901,0.223195,1.29617,0.179109,0.0113869,0.149458,-2.16398,0.960897
0.318333,0.572818,0.171761,-0.502934,-1.69991,-0.163873,-0.446759,-0.598226,1.03348,0.122355,0.438288,0.616855,-1.23791,0.186645
-0.532948,0.142386,1.20438,-2.51988,-0.967044,-0.615765,2.79373,-0.48311,0.293034,0.306388,0.579885,2.12996,0.501504,-0.128125
-2.25994,0.436675,0.888951,-2.82867,-0.515477,-0.217809,3.01354,0.0262452,0.101655,0.606782,0.31708,2.77077,1.38566,-0.10702
-3.89633,1.08573,-0.429254,-2.46985,-0.486906,0.164128,1.94581,-0.0327343,0.264056,0.761904,-0.36302,1.29209,0.791301,-0.102841
-4.07728,1.51972,-0.905581,-2.43818,-0.609191,0.0414196,0.820808,-0.510357,0.345569,0.0369659,-1.09452,-0.456652,0.205123,-0.222402
-3.20837,1.19754,-0.6772,-1.37083,-1.28916,-0.216288,-2.2599,-0.924008,0.309855,-1.5642,-1.64833,-1.027,-0.266652,-0.604833
-2.25393,-0.132588,-0.740791,0.180898,-2.04477,-0.425775,-4.72508,-1.19388,0.0998982,-2.47977,-2.00558,-0.973145,-0.819291,-1.03523
-1.32755,-1.11369,-0.951925,0.182798,-1.43541,-0.718028,-2.55442,-1.28889,0.217761,-1.09777,-1.80325,-1.10303,-0.903235,-1.33956
0.447873,-0.584222,-0.29419,0.232878,1.16807,-0.893062,1.59381,-0.591364,0.490026,1.27837,-0.211794,-0.741583,-0.321409,-1.43059
3.18837,0.235593,1.00883,2.87338,3.8188,-0.170008,2.69692,1.75722,-0.179256,2.19468,2.4103,0.626719,1.32485,0.00264169
2.59101,-0.263425,1.31846,3.60784,2.87593,0.948363,-0.174067,2.36862,-1.11117,0.620576,2.18401,1.31244,1.38974,1.9756
0.0588563,-0.403902,0.850573,1.51176,0.406132,0.392363,-2.20596,0.711052,-0.214052,-0.93356,0.389739,0.84073,-0.367654,0.782737
0.846853,0.821156,0.364462,1.81701,0.702742,-0.146683,0.249308,0.834856,0.790318,-0.331321,1.39469,0.0335862,-0.609098,-0.864403
