L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
0.104489,-0.219201,-1.12513,5.11388,2.32804,-0.0739652,5.79447,-0.284169,-0.576149,4.14736,-4.33821,-2.54205,1.80674,-0.268764
-2.36731,-0.756818,-1.79332,1.68596,-0.0989651,-0.471662,2.5557,-3.21351,0.095235,1.64675,-4.63795,-3.99993,0.347579,-1.58688
-3.04068,-1.3801,-2.2741,-1.08429,-1.97812,-1.16194,0.70589,-4.37583,0.779483,-0.259529,-2.21073,-4.10956,-1.07142,-1.57569
-2.2149,-1.95879,-1.90729,-0.559788,-1.80992,-1.60963,-0.212157,-3.52684,0.821853,-0.830501,1.35488,-2.49717,-1.0303,-0.514759
-2.10868,-2.59872,-0.940109,-0.486719,-1.63663,-1.85838,-2.26483,-2.90788,0.0713055,-2.25086,2.71509,-1.03992,-0.940407,-0.687774
-2.46538,-2.9057,-0.652588,-2.21069,-2.10355,-1.86307,-2.87233,-3.28036,-1.11074,-3.47246,2.21947,-0.937452,-1.17936,-1.50816
-2.12589,-2.43597,-0.589273,-2.81776,-1.96466,-1.28653,-1.67522,-3.01339,-1.70611,-2.32552,1.80764,-0.731495,-0.538353,-1.38737
-0.872807,-1.60552,-0.329309,-1.48739,-0.649225,-0.260749,0.371823,-1.15688,-1.02379,0.184437,1.70387,0.644006,0.605449,-0.327888
0.110861,-0.787344,-0.173489,0.157006,0.926427,1.04405,0.808526,0.207527,-0.0165821,0.928942,1.33713,2.04903,0.744384,0.793867
0.588074,0.521557,0.269235,0.201198,1.72184,2.0245,-1.5159,0.522374,0.253587,-0.533029,1.15588,2.47377,-0.370301,1.33522
0.880661,1.24844,0.914473,-0.880065,1.95858,2.21007,-3.89114,0.886203,0.00484175,-1.78236,1.14469,2.65439,-1.25652,1.58144
1.03371,0.0452389,0.948963,-2.09592,1.85818,1.48296,-3.75004,1.30897,-0.819227,-1.29561,0.982446,2.78936,-1.29204,1.63281
0.896921,-1.77716,0.350412,-2.69092,0.777626,0.207302,-1.4981,1.03127,-1.55303,-0.17794,0.657081,2.1691,-1.26433,1.01585
0.23651,-1.88821,0.0464299,-1.6429,-1.14868,-0.553419,-0.367221,-0.0685188,-1.18282,-0.297357,-0.32481,1.04229,-1.61149,-0.067326
0.0830861,-0.948099,0.335657,0.180592,-2.20629,-0.281867,1.04234,-0.877233,-0.781216,-0.313732,-0.40915,0.230346,-1.54185,-0.537831
1.01204,-0.379382,0.958988,0.787919,-1.92762,0.0788725,3.03731,0.0727334,-0.865283,0.520137,1.09548,0.290454,-0.57017,-0.325805
1.18492,0.381433,1.77976,0.215681,-1.68105,0.0248183,2.41272,1.59757,-0.394446,0.912787,2.37652,0.910677,-0.125936,-0.230034
0.212356,1.45201,1.87421,1.09817,-0.967182,0.166532,0.797845,1.86586,0.673781,1.12162,2.20122,0.818617,-0.189935,0.0468962
0.218295,2.49401,1.27403,3.27701,0.651539,0.734111,1.05072,1.70072,1.42067,2.03054,1.34725,-0.0678316,0.355485,1.01417
1.46555,3.11936,1.24475,3.84722,1.93721,1.2417,1.82913,2.1159,1.553,2.58059,0.856748,-0.367541,0.958148,1.82883
1.89425,3.20909,1.26778,2.16515,2.0778,1.19889,0.65515,1.8234,1.43214,0.835389,0.39136,-0.410535,0.70559,1.50525
0.986502,2.73863,1.02384,0.361754,1.299,0.89021,-1.2823,0.243748,1.33308,-1.8063,-0.497306,-0.456983,-0.178038,0.342853
1.22345,1.33026,0.716904,0.581498,1.19061,0.602547,-0.321319,0.124879,0.902009,-1.99715,-1.28495,0.224737,-0.0136773,-0.324109
1.75826,-0.433821,0.247089,1.09757,1.35227,0.268607,1.57198,0.881561,0.0825908,-0.62067,-1.41935,0.881501,0.898713,-0.226562
0.825159,-1.20846,-0.0310086,-0.073856,0.643759,-0.277579,1.19137,0.642583,-0.185757,-0.306892,-1.09365,1.09126,0.791427,-0.183179
0.554506,-0.462971,0.0402735,-1.48668,0.0387027,-0.709848,0.556103,0.730955,0.708098,-0.877685,-0.636455,1.30695,0.0666293,-0.397848
2.32525,1.27698,0.720028,-1.01812,0.4971,-0.809341,0.92361,2.55681,2.02345,-0.359282,-0.505338,1.19768,0.0353488,-0.265224
3.29888,2.05794,0.835361,1.2479,1.23758,-0.449308,1.74133,3.61034,2.09692,0.814073,-0.736164,0.193157,0.728974,0.348112
0.509508,0.763236,-0.156356,1.82109,0.326093,0.17565,1.16211,0.507185,0.557948,-0.533959,-1.25614,-1.50195,0.260744,0.0355673
-2.03752,-0.409231,-0.242717,0.321147,-1.086,0.255319,-0.5688,-2.21005,-0.835392,-2.12048,-1.61976,-2.15945,-0.984685,-0.96821
-1.26752,-0.131999,0.434025,-0.005766,-1.05551,0.342915,-0.556927,-1.68491,-0.939887,-0.854922,-0.519073,-1.38147,-0.940645,-0.936579
-0.885399,-0.161222,0.447637,-0.311584,-1.36225,0.601441,-1.08436,-1.94746,-0.535456,-0.334079,1.17215,-0.864172,-1.02997,-0.663867
-1.93094,-1.20652,-0.0246793,-2.8631,-2.54548,0.118494,-3.68443,-2.95078,-0.814353,-2.22036,0.566193,-0.770767,-2.31643,-1.28605
-2.6045,-1.80189,-0.915298,-5.19722,-2.80364,-0.782345,-6.08427,-3.0074,-1.41678,-3.76507,-0.7612,-1.02963,-3.33017,-1.8994
-2.78565,-1.57936,-1.6347,-3.6068,-1.3227,-1.06903,-7.18193,-2.42522,-1.17284,-2.95518,0.0125983,-1.18406,-2.49207,-1.49517
-1.61292,-1.1256,-1.6796,0.437214,1.197,-0.699985,-4.52575,-0.560696,-0.544431,-0.0397592,1.90197,-0.484406,0.0546269,-0.38905
-1.26218,-1.04921,-1.75443,1.92312,1.59946,-0.40704,-1.26783,-0.729598,-0.457449,1.26204,2.7914,-0.614142,1.30796,-0.0664082
-3.15357,-1.47668,-1.78653,0.0532029,-0.662676,-0.804015,-1.54567,-3.92306,-0.903843,-0.166685,1.70933,-1.58363,0.0571364,-0.868359
-3.7698,-1.88942,-1.06433,-2.06175,-2.47542,-1.50398,-2.06186,-4.74276,-1.29215,-1.16637,1.03495,-1.08942,-1.65835,-1.4516
-1.96816,-2.40512,-0.0243039,-3.14054,-2.66489,-1.30491,-0.959611,-2.18427,-1.27317,-1.2327,1.40306,0.394074,-2.15212,-1.043
