"file","lhs","op","rhs","beta","se","z","pval","level","sub_membership"
"sub_1002_ses_1_gordon","L_precuneus","~","L_precuneuslag",0.674121148888683,0.0359196591697834,18.7674706405837,0,"group",1
"sub_1002_ses_1_gordon","L_supfrontal","~","L_supfrontallag",0.680827530994616,0.0296740449706074,22.9435364025695,0,"group",1
"sub_1002_ses_1_gordon","L_angular","~","L_angularlag",0.734998474717258,0.0367972507525477,19.9742768735615,0,"group",1
"sub_1002_ses_1_gordon","L_postcingulate","~","L_postcingulatelag",0.683594036794346,0.032249058786469,21.1973329615799,0,"group",1
"sub_1002_ses_1_gordon","L_mPFC","~","L_mPFClag",0.583607175826621,0.0324281864248432,17.9969107177551,0,"group",1
"sub_1002_ses_1_gordon","L_midtemporal","~","L_midtemporallag",0.716592026475637,0.034971632330819,20.4906656828865,0,"group",1
"sub_1002_ses_1_gordon","L_antcingulate","~","L_antcingulatelag",0.6524467236092,0.0359284824462257,18.1595959302127,0,"group",1
"sub_1002_ses_1_gordon","R_precuneus","~","R_precuneuslag",0.650653996539167,0.0376772535230217,17.2691461213223,0,"group",1
"sub_1002_ses_1_gordon","R_supfrontal","~","R_supfrontallag",0.744128204787811,0.034464104983389,21.5913979239115,0,"group",1
"sub_1002_ses_1_gordon","R_antcingulate","~","R_antcingulatelag",1.09196998821032,0.0781146572093857,13.9790665058326,0,"group",1
"sub_1002_ses_1_gordon","R_postcingulate","~","R_postcingulatelag",0.69202191879453,0.0301363170241737,22.963055447002,0,"group",1
"sub_1002_ses_1_gordon","R_angular","~","R_angularlag",0.750771410370074,0.0338168400201677,22.2011107460759,0,"group",1
"sub_1002_ses_1_gordon","R_mPFC","~","R_mPFClag",0.749556816616959,0.0435794285348059,17.1997853532729,0,"group",1
"sub_1002_ses_1_gordon","R_midtemporal","~","R_midtemporallag",0.672820862457807,0.0363408869382369,18.5141563441008,0,"group",1
"sub_1002_ses_1_gordon","L_precuneus","~","R_precuneus",0.857666641027715,0.03880215081963,22.1035850567805,0,"group",1
"sub_1002_ses_1_gordon","L_precuneus","~","R_precuneuslag",-0.583075323155065,0.0458886348548489,-12.7063122491963,0,"group",1
"sub_1002_ses_1_gordon","L_antcingulate","~","R_antcingulate",0.61672146611581,0.0437356400297608,14.1011190346397,0,"group",1
"sub_1002_ses_1_gordon","R_supfrontal","~","L_supfrontal",0.518244997710468,0.0436768801440741,11.8654307725498,0,"group",1
"sub_1002_ses_1_gordon","R_supfrontal","~","L_supfrontallag",-0.357236261589289,0.0476750042884793,-7.49315635983309,6.72795152922845e-14,"group",1
"sub_1002_ses_1_gordon","L_antcingulate","~","R_antcingulatelag",-0.393327243722592,0.0405318034755368,-9.70416339751539,0,"group",1
"sub_1002_ses_1_gordon","L_midtemporal","~","R_midtemporal",0.656454200660052,0.042285898320567,15.5241871813508,0,"group",1
"sub_1002_ses_1_gordon","L_midtemporal","~","R_midtemporallag",-0.396960978107438,0.0516151400779777,-7.69078563978957,1.46549439250521e-14,"group",1
"sub_1002_ses_1_gordon","L_angular","~","R_angular",0.668989910487277,0.0394748686966194,16.947235863626,0,"group",1
"sub_1002_ses_1_gordon","L_angular","~","R_angularlag",-0.438328837584074,0.0474072266451745,-9.24603417248604,0,"group",1
"sub_1002_ses_1_gordon","R_midtemporal","~","R_mPFC",0.159946790774146,0.0415524895846991,3.84927094315531,0.000118469908669594,"group",1
"sub_1002_ses_1_gordon","R_midtemporal","~","R_mPFClag",-0.107019432682773,0.0420884391737576,-2.54272752289423,0.0109990964895375,"group",1
"sub_1002_ses_1_gordon","L_postcingulate","~","R_postcingulate",0.335612639361743,0.0440029167930889,7.62705438232344,2.39808173319034e-14,"group",1
"sub_1002_ses_1_gordon","L_postcingulate","~","R_postcingulatelag",-0.157918972661534,0.0469511436687586,-3.36347446136043,0.000769679572813375,"group",1
"sub_1002_ses_1_gordon","R_precuneus","~","R_angular",0.533455727867345,0.0453748060496079,11.7566503156867,0,"group",1
"sub_1002_ses_1_gordon","L_mPFC","~","L_precuneus",0.464113043087628,0.0345076051991161,13.4495871391132,0,"group",1
"sub_1002_ses_1_gordon","R_mPFC","~","R_antcingulate",0.771153354838915,0.0705999002793418,10.9228674798081,0,"group",1
"sub_1002_ses_1_gordon","L_mPFC","~","L_precuneuslag",-0.3060042019387,0.0411285271959707,-7.44019352992242,1.00586206031039e-13,"group",1
"sub_1002_ses_1_gordon","R_mPFC","~","R_antcingulatelag",-0.39550684970378,0.0727928016336109,-5.4333236367861,5.53139518633117e-08,"group",1
"sub_1002_ses_1_gordon","L_precuneus","~","L_angular",0.288395302136507,0.0367992141713329,7.83699621393466,4.66293670342566e-15,"group",1
"sub_1002_ses_1_gordon","R_precuneus","~","R_angularlag",-0.423037190761213,0.0480355180058772,-8.80675817234767,0,"group",1
"sub_1002_ses_1_gordon","R_precuneus","~","R_postcingulate",-0.111772104719623,0.0265197310603475,-4.21467715736929,2.50135741610702e-05,"group",1
"sub_1002_ses_1_gordon","L_precuneus","~","L_angularlag",-0.142833745192186,0.0320621429039871,-4.45490326769219,8.39310284250772e-06,"group",1
"sub_1002_ses_1_gordon","R_midtemporal","~","R_precuneus",0.277331369166667,0.0479518924376202,5.78353335121117,7.31476768045525e-09,"group",1
"sub_1002_ses_1_gordon","R_midtemporal","~","R_precuneuslag",-0.278531462696133,0.0466186219811897,-5.97468245218656,2.30538788059675e-09,"group",1
"sub_1002_ses_1_gordon","R_angular","~","R_antcingulate",0.674389503159883,0.0412962272457493,16.330535454163,0,"ind",1
