"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1,0.5441,0.6082,0.4261,0.6635,0.3551,0.3909,0.793,0.3275,0.4433,-0.0072,0.4827,0.6188,0.6338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.5441,1,0.598,0.6061,0.5731,0.4181,0.1384,0.3803,0.5958,0.1124,-0.0649,0.0912,0.2482,0.3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.6082,0.598,1,0.3049,0.2464,0.4677,0.0812,0.4659,0.2547,0.0678,0.2083,0.5399,0.1548,0.4042,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",0.4261,0.6061,0.3049,1,0.6518,0.3826,0.4022,0.3504,0.5116,0.3611,-0.015,0.0453,0.4358,0.4266,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.6635,0.5731,0.2464,0.6518,1,0.4503,0.3504,0.5621,0.4766,0.4701,-0.0449,0.252,0.6846,0.6276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.3551,0.4181,0.4677,0.3826,0.4503,1,0.1548,0.4268,0.3869,0.3108,0.1409,0.4594,0.3397,0.6514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.3909,0.1384,0.0812,0.4022,0.3504,0.1548,1,0.3701,0.3678,0.6889,-0.299,0.0095,0.5128,0.2911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.793,0.3803,0.4659,0.3504,0.5621,0.4268,0.3701,1,0.3949,0.5265,0.102,0.6839,0.5979,0.7517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.3275,0.5958,0.2547,0.5116,0.4766,0.3869,0.3678,0.3949,1,0.3296,-0.0447,0.0952,0.3254,0.4012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.4433,0.1124,0.0678,0.3611,0.4701,0.3108,0.6889,0.5265,0.3296,1,0.0384,0.3163,0.7349,0.5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",-0.0072,-0.0649,0.2083,-0.015,-0.0449,0.1409,-0.299,0.102,-0.0447,0.0384,1,0.5205,0.0038,0.299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.4827,0.0912,0.5399,0.0453,0.252,0.4594,0.0095,0.6839,0.0952,0.3163,0.5205,1,0.3314,0.6926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.6188,0.2482,0.1548,0.4358,0.6846,0.3397,0.5128,0.5979,0.3254,0.7349,0.0038,0.3314,1,0.5942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.6338,0.3522,0.4042,0.4266,0.6276,0.6514,0.2911,0.7517,0.4012,0.5694,0.299,0.6926,0.5942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1258,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3303,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1811,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2322,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1399,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2611,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1816,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1953,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2605,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3392,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3057,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1964,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1352,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1896
