"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.722,0,-0.3286,0,0,0,0,-0.6112,0,0,0,0.2528,0,0,0,0,0.4731,0.0928,0,0,0,0.9004,0,0,0,-0.4185,0,0
"L_supfrontal",0,0.6112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.7464,0,0,0,0,0,0,0,0.2254,-0.6545,0,0,0,0,0,0,0,0,0.1359,0,0,0,-0.3236,0.7768,0,0
"L_postcingulate",0,0,0,0.7025,0,0,0,0,0,0,-0.4217,0,-0.414,0,0,0,0,0,0,0,0,0,0,0,0.5975,0,0.5699,0
"L_mPFC",-0.0729,0,0,0,0.7606,0,0,0,0,0,0,0,0,0,0.3681,0,0,0,0,0,0,-0.2577,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0.6629,0,0,0,0,0,0,0,-0.2024,0,0,0,0,0.1516,0,0,0,0,0,0,0,0,0.3759
"L_antcingulate",0,0,0,0,0,0,0.7349,0,0,-0.6377,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8549,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.799,0,0,-0.1765,-0.6345,0,0,0,0,0,0,0,0,0,0,0,0,0.2327,0.8021,0,0
"R_supfrontal",0,-0.4104,0,0,0,0,0,0.2327,0.683,0,0,0,0,0,-0.4052,0.622,0,0,0,0,0,0,0,0,0,0,0.1518,0
"R_antcingulate",0,0,0,0,0,0,0,0,-0.2584,0.7584,0,0,0,0,0,0,0,0,0,0,0,0,0.3113,0,0,0.1773,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,-0.3011,0,0.7055,0,0,0,0,0,0,0,0,0,0,0,0.4647,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,-0.2723,0,0,0.7973,0,0,0,0,0,0,0,0,0,0,0.4399,0,0,0,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,-0.2817,0,0,0.663,0,0,0,0,0,0.2012,0,0,0,0,0.4545,-0.1825,0,0,0
"R_midtemporal",0,-0.1255,0,0,0,0,0,-0.2571,0,0,0,0,-0.3085,0.7689,0,0,0,0,0,0,0,0.2671,0,0,0,0,0.505,0
