"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",5.2495,0.7619,1.3516,1.4488,4.0928,1.1607,1.5136,4.4931,0.1872,2.0995,3.4133,2.3947,2.4526,1.9915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.7619,0.9323,0.46,0.3052,0.866,0.4647,0.3098,0.313,0.1394,-0.0962,0.3704,0.2008,0.2319,0.3504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",1.3516,0.46,0.6428,0.4836,0.9832,0.4366,0.3221,1.0651,0.103,0.4195,0.8455,0.7585,0.5977,0.5584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",1.4488,0.3052,0.4836,3.6087,1.492,0.2384,1.5972,1.2664,-0.1883,0.5234,1.9989,0.3934,0.421,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",4.0928,0.866,0.9832,1.492,4.6776,1.1089,1.8844,3.0649,0.1463,1.3703,2.653,1.4011,2.16,1.7102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",1.1607,0.4647,0.4366,0.2384,1.1089,0.6552,0.4472,0.8667,0.2117,0.2458,0.7429,0.5389,0.5337,0.705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",1.5136,0.3098,0.3221,1.5972,1.8844,0.4472,2.3965,1.2088,0.0023,0.6542,1.5083,0.3185,0.6537,0.6641,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",4.4931,0.313,1.0651,1.2664,3.0649,0.8667,1.2088,4.5939,0.265,2.2869,3.2622,2.6546,2.3954,1.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.1872,0.1394,0.103,-0.1883,0.1463,0.2117,0.0023,0.265,0.3983,0.0426,0.2733,0.3496,0.1484,0.3123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",2.0995,-0.0962,0.4195,0.5234,1.3703,0.2458,0.6542,2.2869,0.0426,2.6048,1.4245,1.6154,1.6148,0.8973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",3.4133,0.3704,0.8455,1.9989,2.653,0.7429,1.5083,3.2622,0.2733,1.4245,3.9577,1.8871,1.299,1.5511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",2.3947,0.2008,0.7585,0.3934,1.4011,0.5389,0.3185,2.6546,0.3496,1.6154,1.8871,2.305,1.5368,1.3393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",2.4526,0.2319,0.5977,0.421,2.16,0.5337,0.6537,2.3954,0.1484,1.6148,1.299,1.5368,2.3372,1.2249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",1.9915,0.3504,0.5584,0.471,1.7102,0.705,0.6641,1.888,0.3123,0.8973,1.5511,1.3393,1.2249,1.3921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2254,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0837,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1774,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.439,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1199,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5857,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5131,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5984,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6463,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8523,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1668
