"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0378,0,0.0559,0,0,0,0,0.0456,0,0,0,0.0477,0,0,0,0,0.0482,0,0,0,0,0.0348,0,0,0,0.0457,0,0
"L_supfrontal",0,0.0386,0,0.0255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.0395,0,0,0,0,0,0,0,0,0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0543,0,0
"L_postcingulate",0,0,0,0.0377,0,0.1052,0,0,0,0,0.0524,0,0,0,0,0,0,0,0,0.0985,0.0312,0,0,0,0.0433,0,0,0
"L_mPFC",0.0314,0.0513,0,0,0.0342,0,0,0,0,0,0,0,0,0,0.0326,0.0502,0,0,0,0,0,0,0,0,0,0,0,0.0376
"L_midtemporal",0.0271,0,0,0,0,0.0386,0,0,0,0,0,0,0,0.0426,0.0276,0.0236,0,0,0,0,0,0,0,0,0,0,0,0.043
"L_antcingulate",0,0,0,0,0,0,0.0361,0,0,0.0497,0.049,0,0,0,0,0,0,0,0,0,0,0,0,0.0461,0.0466,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.0365,0,0,0,0.0689,0.0453,0,0,0,0.0483,0,0,0,0,0,0,0,0.0223,0.0714,0.0431,0
"R_supfrontal",0,0.0399,0,0,0,0,0,0,0.0362,0,0,0,0,0,0,0.0383,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.0383,0.0576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.0386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0.1398,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0.1709,0,0,0.063,0,0,0,0,0
"R_mPFC",0,0,0,0,0.0766,0,0,0,0,0.0375,0,0.0702,0.0358,0,0,0,0,0,0.0718,0,0,0,0,0.0367,0,0.0664,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.0402,0,0,0,0,0.0345,0.0347,0,0,0,0,0,0,0.0161,0.04,0.0392,0,0,0,0.0357,0
