"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0334,0,0.0569,0,0,0.0636,0,0.056,0,0,0,0,0,0,0,0,0.0432,0.0077,0,0,0,0.0459,0,0,0,0,0,0
"L_supfrontal",0,0.0353,0,0,0,0,0,0,0,0,0,0.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0342,0,0
"L_angular",0,0,0.0336,0,0.0226,0,0,0,0,0,0,0.0314,0,0,0,0,0,0,0.02,0,0,0,0.0344,0,0,0.0324,0,0
"L_postcingulate",0,0,0,0.0413,0,0,0,0,0,0,0.0989,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0702,0,0,0
"L_mPFC",0.0499,0,0,0,0.0335,0,0.0286,0,0,0,0,0,0.0734,0,0.0499,0,0,0,0,0,0,0,0,0,0,0,0.0592,0
"L_midtemporal",0,0,0.031,0,0,0.0381,0,0,0,0,0,0,0,0.032,0,0,0.0273,0,0,0,0,0,0,0,0,0,0.0176,0.031
"L_antcingulate",0,0,0,0,0,0,0.0424,0,0,0.0671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.0363,0,0,0,0.0409,0,0,0,0,0,0.0154,0,0,0,0,0,0,0.0335,0.0425,0,0
"R_supfrontal",0,0.0461,0,0,0,0,0,0,0.0362,0,0,0.035,0,0,0,0.0444,0.0258,0.0066,0,0,0,0,0,0,0,0.0337,0,0
"R_antcingulate",0,0,0,0,0,0,0,0.0694,0.079,0.0346,0,0,0,0,0,0,0,0,0,0,0,0.0682,0.0762,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0.1211,0,0.0368,0,0,0,0,0,0,0,0,0,0,0,0.1167,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.0363,0,0.0716,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624
"R_mPFC",0,0,0,0.0101,0,0,0,0,0,0.0465,0,0,0.0358,0,0,0,0,0,0,0,0,0,0,0.044,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.0487,0,0,0,0,0.0376,0.0355,0,0,0,0,0,0,0,0.052,0,0,0.0164,0,0.0353,0
