"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1,0.2451,0.4825,0.4257,0.5547,0.1553,0.2578,0.811,0.3158,0.3971,0.4087,0.2462,0.3248,0.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.2451,1,0.2524,0.1492,0.2799,0.0558,0.2399,0.0946,0.6946,0.3219,0.0861,0.0177,0.1743,0.0963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.4825,0.2524,1,0.2351,0.2895,0.3902,0.1083,0.4562,0.2149,0.0981,0.2095,0.4871,0.1739,0.3277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",0.4257,0.1492,0.2351,1,0.1799,0.0963,-0.0404,0.46,0.2635,0.2751,0.7654,0.0885,0.1161,0.0874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.5547,0.2799,0.2895,0.1799,1,0.2669,-0.0184,0.3599,0.3744,0.2018,0.0575,0.015,-0.0023,0.3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.1553,0.0558,0.3902,0.0963,0.2669,1,-0.1224,0.2172,0.1641,-0.0598,-0.1044,0.1117,0.4023,0.6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.2578,0.2399,0.1083,-0.0404,-0.0184,-0.1224,1,0.1497,0.1916,0.7025,0.2387,0.3154,0.3574,-0.0323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.811,0.0946,0.4562,0.46,0.3599,0.2172,0.1497,1,0.3075,0.3863,0.4192,0.437,0.3572,0.4084,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.3158,0.6946,0.2149,0.2635,0.3744,0.1641,0.1916,0.3075,1,0.4696,0.2619,0.1771,0.0334,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.3971,0.3219,0.0981,0.2751,0.2018,-0.0598,0.7025,0.3863,0.4696,1,0.4361,0.3171,0.1662,0.0611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",0.4087,0.0861,0.2095,0.7654,0.0575,-0.1044,0.2387,0.4192,0.2619,0.4361,1,0.2716,0.0277,0.0131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.2462,0.0177,0.4871,0.0885,0.015,0.1117,0.3154,0.437,0.1771,0.3171,0.2716,1,0.0882,0.3493,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.3248,0.1743,0.1739,0.1161,-0.0023,0.4023,0.3574,0.3572,0.0334,0.1662,0.0277,0.0882,1,0.3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.279,0.0963,0.3277,0.0874,0.3777,0.6106,-0.0323,0.4084,0.233,0.0611,0.0131,0.3493,0.3522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1239,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3375,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2394,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1564,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2284,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1801,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2401,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1756,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3074,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2774,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2201,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2211,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2843
