"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.7604,0,-0.4049,0,0,0,0,-0.5322,0,0,0,0.158,0,0,0,0,0.5174,0,0,0,0,0.7293,0,0,0,-0.2317,0,0
"L_supfrontal",0,0.738,0,-0.3079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4263,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.7518,0,0,0,0,0,0,0,0,-0.4614,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6705,0,0
"L_postcingulate",0,0,0,0.622,0,-0.1733,0,0,0,0,-0.3052,0,0,0,0,0,0,0,0,0.2745,0.1817,0,0,0,0.5069,0,0,0
"L_mPFC",-0.2114,-0.1804,0,0,0.7936,0,0,0,0,0,0,0,0,0,0.1803,0.2427,0,0,0,0,0,0,0,0,0,0,0,0.1033
"L_midtemporal",-0.3523,0,0,0,0,0.673,0,0,0,0,0,0,0,-0.2775,0.5822,0.2127,0,0,0,0,0,0,0,0,0,0,0,0.3623
"L_antcingulate",0,0,0,0,0,0,0.7616,0,0,-0.4518,-0.1467,0,0,0,0,0,0,0,0,0,0,0,0,0.5409,0.2622,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.7116,0,0,0,-0.3892,-0.2358,0,0,0,0.1534,0,0,0,0,0,0,0,0.1519,0.5245,0.3336,0
"R_supfrontal",0,-0.291,0,0,0,0,0,0,0.7823,0,0,0,0,0,0,0.3926,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.7521,-0.2164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3157,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.7481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0.2479,0,0,0,0,0,0.743,0,0,0,0,0,0,0,-0.4744,0,0,-0.1343,0,0,0,0,0
"R_mPFC",0,0,0,0,-0.3047,0,0,0,0,-0.089,0,-0.178,0.7729,0,0,0,0,0,0.4091,0,0,0,0,0.1788,0,0.3751,0,0
"R_midtemporal",0,0,0,0,0,0,0,-0.3799,0,0,0,0,-0.1446,0.7566,0,0,0,0,0,0,-0.119,0.5805,0.1578,0,0,0,0.1156,0
