"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0323,0,0.0609,0,0,0,0,0.0391,0,0,0,0,0,0,0,0,0.0666,0,0,0.0684,0,0.0331,0,0,0,0.0349,0,0.0578
"L_supfrontal",0,0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.0371,0,0,0,0.0164,0,0,0,0,0.0269,0,0,0,0,0,0,0,0,0.0167,0,0.029,0,0,0.0218,0,0
"L_postcingulate",0,0.0953,0,0.0377,0,0,0,0,0,0,0.0697,0,0,0,0,0.0921,0,0,0,0,0,0,0,0,0.0641,0,0.0453,0
"L_mPFC",0.0311,0,0,0,0.0325,0,0,0,0,0,0,0,0,0,0.0262,0,0,0,0,0,0,0,0,0,0,0.0224,0.03,0
"L_midtemporal",0,0,0,0,0,0.0382,0,0,0,0,0,0,0,0.0384,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309
"L_antcingulate",0,0.0921,0,0,0,0.1204,0.0358,0,0,0.0392,0,0,0,0,0,0.0879,0,0.0299,0,0.1257,0,0,0,0.0409,0,0.0454,0,0
"R_precuneus",0,0,0,0,0,0,0,0.0366,0,0,0,0.0539,0,0,0,0,0,0,0,0,0,0,0,0,0.0406,0.0498,0.0483,0
"R_supfrontal",0,0.0461,0,0,0.0219,0,0,0,0.037,0,0,0,0,0,0,0.0416,0,0,0,0,0,0,0,0,0,0.018,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1934,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.0417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0.0371,0,0.0368,0,0,0,0,0,0,0,0,0,0,0,0.0302,0,0,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0.0401,0,0,0.0408,0,0,0,0,0,0,0,0,0,0,0.0356,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.024,0.042,0,0,0,0.0334,0.0384,0,0,0,0,0.031,0,0,0.0253,0.0388,0,0,0,0.0328,0
