"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.8619,0,-0.1542,0,0,0,0,-0.6873,0,0,0,0,0,0,0,0,0.1737,0,0,0,0,0.7977,0,0,0,0,0,0
"L_supfrontal",0,0.7239,0,0,0,0,0,0,0,0,0.1424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.6644,0,0,0,0,0,0,0,0,-0.2156,0,0,0,0.1926,0,0,0,0.1916,0,0,0,0,0,0.383,-0.1667,0
"L_postcingulate",0,0,0,0.7411,0,0,0,0,0,0,-0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8426,0,0,0
"L_mPFC",-0.0766,0,0,0,0.7393,0,-0.4034,0,0,0,0,0,0,-0.2721,0.0526,0,0,0,0,0,0.5937,0,0,0,0,-0.1307,0,0.517
"L_midtemporal",0,0,0,0,0,0.7413,0,0,0,0,0,0,0,-0.5197,0,0,0,0,0,0,0,0,0,0,0,-0.1298,0,0.731
"L_antcingulate",0,0,0,0,0,-0.2454,0.7286,0,0,-0.3253,0,0,0,0,0.2486,0,0,0,0,0.2176,0,-0.1374,0,0.5805,0,0,0,0
"R_precuneus",0,0,0,-0.2198,-0.144,0,0,0.8335,0,0,0,-0.0876,0,0,0,0,0,0,0,0,0,0,0,0,0.2961,-0.0477,0.1289,0
"R_supfrontal",0,-0.7015,0,0,0,0,0.2042,0,0.7483,0,0,0,0,0,0,0.8708,0,0,0,0,-0.3497,0,0,0.1322,0,0,0,0
"R_antcingulate",0,0,0,-0.1655,0,0,0,0,0,0.7591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,-0.2143,0,0,0.4116,0.5843,0,0,0,0.1937,0,0,0,0,0,0,0,0,0,0,0.239,0,-0.2572
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.7932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,-0.4268,0.1957,0,0.7741,0,0,0,0,0,0,0,0,0,0,0.4182,0,0,0,0
"R_midtemporal",0,0,0,0,0.3715,0,0,-0.3623,0.1292,0,0,0,-0.3092,0.7887,0,0,0,0,-0.5259,0,0,0.6246,0,0,0,0,0.4484,0
