"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.7579,0,-0.1667,0,0,-0.1532,0,-0.5423,0,0,0,0,0,0,0,0,0.3619,0.1107,0,0,0,0.665,0,0,0,0,0,0
"L_supfrontal",0,0.7708,0,0,0,0,0,0,0,0,0,-0.3832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5167,0,0
"L_angular",0,0,0.7997,0,-0.4081,0,0,0,0,0,0,-0.4274,0,0,0,0,0,0,0.5237,0,0,0,0.1633,0,0,0.3856,0,0
"L_postcingulate",0,0,0,0.6859,0,0,0,0,0,0,-0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9732,0,0,0
"L_mPFC",0.1469,0,0,0,0.7777,0,-0.0885,0,0,0,0,0,-0.6185,0,-0.1216,0,0,0,0,0,0,0,0,0,0,0,0.8385,0
"L_midtemporal",0,0,-0.3938,0,0,0.6894,0,0,0,0,0,0,0,-0.2228,0,0,0.5206,0,0,0,0,0,0,0,0,0,0.1362,0.2982
"L_antcingulate",0,0,0,0,0,0,0.6835,0,0,-0.3656,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5526,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.7158,0,0,0,-0.4337,0,0,0,0,0,-0.2794,0,0,0,0,0,0,0.3885,0.4554,0,0
"R_supfrontal",0,-0.239,0,0,0,0,0,0,0.7795,0,0,-0.3775,0,0,0,0.3722,-0.111,-0.1076,0,0,0,0,0,0,0,0.589,0,0
"R_antcingulate",0,0,0,0,0,0,0,-0.1388,-0.3964,0.8202,0,0,0,0,0,0,0,0,0,0,0,0.2023,0.4804,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,-0.3608,0,0.7533,0,0,0,0,0,0,0,0,0,0,0,0.5369,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.7904,0,-0.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6006
"R_mPFC",0,0,0,-0.1335,0,0,0,0,0,-0.3612,0,0,0.7994,0,0,0,0,0,0,0,0,0,0,0.4792,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,-0.0764,0,0,0,0,-0.2732,0.7113,0,0,0,0,0,0,0,0.1059,0,0,0.1556,0,0.4191,0
