"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.7111,0,-0.0675,0,0,0,0,-0.4876,0,0,0,0,0,0,0,0,0.1854,0,0,0,0.093,0.7393,0,0,0,-0.1314,0,0
"L_supfrontal",0,0.6576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0.2249,0,-0.2221,0,0
"L_angular",0,0,0.7637,0,0,-0.363,0,0,0,0,0,-0.3537,0,0,0,0,0,0,0,0.4542,0,0,0,0,0,0.4366,0,0
"L_postcingulate",0,0,0,0.683,0,0,0,0,0,0.1578,-0.5286,0,0,0,0,0,0,0,0,0,-0.19,0,0.1159,0,0.594,0,0,0
"L_mPFC",-0.4052,0,0,0,0.7525,0,0,0,0,0,0,0,0.3129,-0.2049,0.6146,0,0,0,0,0,0,0,0,0,-0.1648,0,-0.4067,0.2968
"L_midtemporal",0,0,0,0,0,0.8029,0,0,0,0,0,0,0,-0.5342,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6352
"L_antcingulate",0,0,0,0,0,0,0.7147,0,0,-0.5217,0,0,0,0,0,0.1616,0,0,0,0,0,0,-0.2484,0.7246,0,0.1322,0,0
"R_precuneus",0,0,0,-0.2843,0,0,0,0.8222,0,0,0,-0.3078,0,0,0,0,0,0.2863,0,0,0,0,0,0,0.0124,0.4095,0,0
"R_supfrontal",0,-0.5771,0,0,0,0,0,0,0.7679,0,0,0,0,0,0,0.7368,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,-0.1838,0,0,0,0,0,0.7165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3741,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.5949,0,0,0,0,0,0,0.2999,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0.1333,-0.4505,0,0.7089,-0.1806,0,0,0,0,0,-0.1586,0,0,0,0,0.3841,0.1406,0,0,0.2122
"R_mPFC",0,0,0,0,0,0,0,0,0,-0.1426,0,0,0.6943,0,0,0,0,0,0,0.1738,0.2642,0.1772,0,-0.0645,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,-0.1443,0,0,0,0,-0.0706,0.7692,0,0,0,0,0,0,0,0.2579,0,0,0,0,0.0906,0
