"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0371,0,0.0696,0,0,0,0,0.0609,0,0,0,0,0,0,0,0,0.0697,0,0,0,0.0164,0.0504,0,0,0,0.0432,0,0
"L_supfrontal",0,0.0356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374,0,0,0,0,0,0,0.0222,0,0.0319,0,0
"L_angular",0,0,0.0361,0,0,0.0564,0,0,0,0,0,0.0392,0,0,0,0,0,0,0,0.0539,0,0,0,0,0,0.0376,0,0
"L_postcingulate",0,0,0,0.0402,0,0,0,0,0,0.0537,0.0512,0,0,0,0,0,0,0,0,0,0.0289,0,0.0974,0,0.0512,0,0,0
"L_mPFC",0.0351,0,0,0,0.0348,0,0,0,0,0,0,0,0.0514,0.0662,0.0336,0,0,0,0,0,0,0,0,0,0.015,0,0.0499,0.0644
"L_midtemporal",0,0,0,0,0,0.0347,0,0,0,0,0,0,0,0.0469,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438
"L_antcingulate",0,0,0,0,0,0,0.0352,0,0,0.0776,0,0,0,0,0,0.1008,0,0,0,0,0,0,0.1354,0.075,0,0.0591,0,0
"R_precuneus",0,0,0,0.0251,0,0,0,0.036,0,0,0,0.0613,0,0,0,0,0,0.0294,0,0,0,0,0,0,0.0286,0.0601,0,0
"R_supfrontal",0,0.0359,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0.0298,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0.0262,0,0,0,0,0,0.0342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.0388,0,0,0,0,0,0,0.046,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0.0546,0.0371,0,0.0311,0.027,0,0,0,0,0,0.0308,0,0,0,0,0.0377,0.0151,0,0,0.044
"R_mPFC",0,0,0,0,0,0,0,0,0,0.0384,0,0,0.0315,0,0,0,0,0,0,0.0476,0.0215,0.0282,0,0.0513,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.0386,0,0,0,0,0.0455,0.0356,0,0,0,0,0,0,0,0.038,0,0,0,0,0.0463,0
