"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1,0.3189,0.6288,-0.0273,0.7286,0.6514,0.5104,0.8243,0.311,0.3637,-0.1652,0.4788,0.4586,0.5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.3189,1,0.4255,0.327,0.3995,0.4461,0.5484,0.2738,0.5736,0.2175,-0.0194,0.2519,0.171,0.3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.6288,0.4255,1,0.2608,0.6163,0.471,0.6171,0.5832,0.3319,0.5607,5e-04,0.71,0.3825,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",-0.0273,0.327,0.2608,1,-0.1097,0.0541,0.4208,-0.0886,0.2292,0.1591,0.444,0.0938,-0.1912,-0.0292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.7286,0.3995,0.6163,-0.1097,1,0.6707,0.4827,0.817,0.5096,0.5372,-0.1196,0.6689,0.6975,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.6514,0.4461,0.471,0.0541,0.6707,1,0.4232,0.6113,0.46,0.2546,-0.1124,0.4178,0.4761,0.7296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.5104,0.5484,0.6171,0.4208,0.4827,0.4232,1,0.3886,0.4475,0.655,0.1564,0.3774,0.3442,0.458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.8243,0.2738,0.5832,-0.0886,0.817,0.6113,0.3886,1,0.3988,0.4954,-0.1209,0.7076,0.6563,0.7229,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.311,0.5736,0.3319,0.2292,0.5096,0.46,0.4475,0.3988,1,0.4142,0.0641,0.5052,0.3875,0.5973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.3637,0.2175,0.5607,0.1591,0.5372,0.2546,0.655,0.4954,0.4142,1,0.2248,0.6944,0.6757,0.5672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",-0.1652,-0.0194,5e-04,0.444,-0.1196,-0.1124,0.1564,-0.1209,0.0641,0.2248,1,0.0834,-0.004,-0.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.4788,0.2519,0.71,0.0938,0.6689,0.4178,0.3774,0.7076,0.5052,0.6944,0.0834,1,0.5675,0.6691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.4586,0.171,0.3825,-0.1912,0.6975,0.4761,0.3442,0.6563,0.3875,0.6757,-0.004,0.5675,1,0.6509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.5523,0.3514,0.545,-0.0292,0.79,0.7296,0.458,0.7229,0.5973,0.5672,-0.0313,0.6691,0.6509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3904,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1318,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2823,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1112,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1897,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1292,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1929,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2213,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6133,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5211,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1967,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2277,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1287
