"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",2.4705,0.5208,0.975,1.5927,1.2064,0.1455,1.1306,1.3238,0.2276,0.5741,1.0995,0.5967,0.5081,0.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.5208,0.9309,0.4243,0.5775,0.4271,0.0533,0.5732,0.2662,0.5259,0.0968,0.2754,0.217,-0.0496,-0.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.975,0.4243,0.9363,0.5714,0.4585,-0.028,1.0511,0.446,0.2005,0.4365,0.383,0.5492,0.2123,0.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",1.5927,0.5775,0.5714,2.9727,0.5205,-0.116,0.8829,1.0029,0.3421,0.8151,1.3971,0.3243,0.04,-0.0931,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",1.2064,0.4271,0.4585,0.5205,1.7335,0.3853,0.8011,0.6295,0.1484,0.5724,0.4316,0.3627,0.6985,0.4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.1455,0.0533,-0.028,-0.116,0.3853,0.5792,-0.3735,0.0237,0.0468,-0.1581,-0.2095,0.0531,0.1644,0.5429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",1.1306,0.5732,1.0511,0.8829,0.8011,-0.3735,5.9188,1.152,0.2264,3.1909,1.1455,1.0685,1.1494,0.0634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",1.3238,0.2662,0.446,1.0029,0.6295,0.0237,1.152,1.5498,0.1707,0.9359,0.8045,0.8683,0.5918,0.3597,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.2276,0.5259,0.2005,0.3421,0.1484,0.0468,0.2264,0.1707,0.6091,0.0174,0.1691,0.1478,-0.0738,0.0508,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.5741,0.0968,0.4365,0.8151,0.5724,-0.1581,3.1909,0.9359,0.0174,3.0282,0.6042,0.993,0.9704,0.3959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",1.0995,0.2754,0.383,1.3971,0.4316,-0.2095,1.1455,0.8045,0.1691,0.6042,1.4241,0.2636,0.3408,-0.1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.5967,0.217,0.5492,0.3243,0.3627,0.0531,1.0685,0.8683,0.1478,0.993,0.2636,1.3575,0.616,0.4743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.5081,-0.0496,0.2123,0.04,0.6985,0.1644,1.1494,0.5918,-0.0738,0.9704,0.3408,0.616,1.2219,0.4123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.2632,-0.044,0.0269,-0.0931,0.4024,0.5429,0.0634,0.3597,0.0508,0.3959,-0.1538,0.4743,0.4123,0.9946,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2567,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3581,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2331,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7519,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4038,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0953,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3014,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1476,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.256,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5404,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4423,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2946,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3786
