"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0406,0,0.087,0,0,0.0648,0,0.0448,0,0,0,0,0,0,0,0,0.0918,0,0,0.0659,0,0.0442,0,0,0,0,0,0
"L_supfrontal",0,0.0385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0.0428,0,0.0355,0,0,0,0,0.0442,0,0,0,0.0453,0,0,0.0479,0.0238,0,0,0,0,0,0.05,0,0,0,0.0437,0,0
"L_postcingulate",0,0.0479,0,0.038,0,0,0,0,0,0,0.0312,0,0,0,0,0.0458,0,0,0,0,0,0,0,0,0.0193,0,0,0
"L_mPFC",0.0438,0,0,0,0.0353,0,0,0,0,0,0,0,0,0,0.0408,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0.038,0,0,0,0,0,0,0,0.0405,0,0,0,0,0,0,0,0,0,0,0,0.0253,0,0.0396
"L_antcingulate",0,0,0,0,0.0382,0,0.0345,0,0,0.0324,0,0,0,0,0,0,0,0,0.0363,0,0,0,0,0.0277,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0.0367,0,0,0.0214,0.0621,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0536,0,0
"R_supfrontal",0,0.0501,0,0,0,0,0,0,0.0389,0,0,0,0,0,0,0.0434,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.0558,0,0,0,0,0,0,0.084,0,0,0,0.1092,0,0,0,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.0377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.0329,0,0,0,0,0,0,0,0,0,0,0.0346,0,0,0,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0.0334,0,0,0.0376,0.047,0,0,0,0,0,0.0554,0,0.0285,0,0.0325,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.0372,0,0,0,0,0.0477,0.0381,0,0,0,0,0,0,0,0.0359,0,0,0,0,0.0473,0
