"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.7842,0,-0.2078,0,0,0,0,-0.5611,0,0,0,0,0,0,0,0,0.3058,0,0,0,0,0.7291,0,0,0,0,0,0
"L_supfrontal",-0.238,0.7669,0,0,0,0,0,0,0,0,0,-0.1251,0,0,0.3453,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.7241,0,0,0,0,0,0,0,0,-0.3491,0,0,0,0,0,0,0,0.1739,0,0,0,0,0,0.4343,0,0
"L_postcingulate",0,0,0,0.6937,0,0,0,0,0,0,-0.5569,0,0,0,0,0,-0.0891,0,0,0,0,0,0,0,0.8499,0,0.0853,0
"L_mPFC",-0.3294,0,0,0,0.7773,0,0,0,0,0,0,0,0,0,0.4095,0,0,0,0,0,0,0,0,0.2228,0,-0.1391,0,0
"L_midtemporal",-0.258,0,0,0,0,0.7437,0,0,0,0,0,0,0,-0.3162,0.3678,0,0,0,0,0,0,0,0,0,0,0,0,0.3485
"L_antcingulate",0,0,0,0,0,0,0.7686,0,0,-0.7228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9721,0,0,0.1489,0
"R_precuneus",0,0,0,0,0,0,0,0.7096,0,0,0,-0.4623,0,0,0,0,0,0,0,0,0,0,0,0,0.1953,0.5954,0,0
"R_supfrontal",0.2128,-0.7649,0,0,0,0,0,0,0.7217,0,0,0,0,0,-0.2893,1.0341,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.9327,0,-0.4745,0,0,0,0,0,0,0,0,-0.2959,0,0,0,0,0.6981,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.7168,0,0,0,0,0,0.1929,0,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.749,0,0,-0.3323,0,0.2556,0,0,0,0,0,0,0,0,0,0,0
"R_mPFC",0,0,0,0,-0.4189,0,0,0,0,0.0197,0,0,0.7961,0,0.1861,0,-0.2064,0,0.5395,0,0,0,0,0.0229,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,-0.2156,0,0,0,0,-0.2371,0.7165,0,0,0,0,0,0,0,0.3032,0,0,0,0,0.3653,0
