"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1,0.4364,0.5919,0.3561,0.4719,0.6493,0.431,0.8534,0.0763,0.1798,0.3921,0.0777,0.4361,0.5337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.4364,1,0.4071,0.3084,0.1732,0.3133,0.3001,0.3672,0.83,0.0479,0.4016,-0.0484,0.2386,0.4093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.5919,0.4071,1,0.243,0.211,0.4747,0.4888,0.3828,0.1667,0.2673,0.3687,0.4459,0.0326,0.3285,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",0.3561,0.3084,0.243,1,0.4151,0.2675,0.2459,0.2478,0.0723,0.183,0.8374,-0.0681,0.2589,0.1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.4719,0.1732,0.211,0.4151,1,0.4745,0.3058,0.3821,-0.1027,0.2827,0.3367,-0.1881,0.6342,0.3769,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.6493,0.3133,0.4747,0.2675,0.4745,1,0.3282,0.5169,0.0062,0.0912,0.2997,0.038,0.4178,0.5368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.431,0.3001,0.4888,0.2459,0.3058,0.3282,1,0.3522,0.0486,0.5939,0.3276,0.4179,0.2835,0.3394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.8534,0.3672,0.3828,0.2478,0.3821,0.5169,0.3522,1,0.0901,0.1994,0.3092,0.1222,0.3713,0.4783,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.0763,0.83,0.1667,0.0723,-0.1027,0.0062,0.0486,0.0901,1,-0.0864,0.158,-0.0117,-0.0045,0.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.1798,0.0479,0.2673,0.183,0.2827,0.0912,0.5939,0.1994,-0.0864,1,0.336,0.4581,0.0283,0.0694,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",0.3921,0.4016,0.3687,0.8374,0.3367,0.2997,0.3276,0.3092,0.158,0.336,1,0.1249,0.1215,0.1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.0777,-0.0484,0.4459,-0.0681,-0.1881,0.038,0.4179,0.1222,-0.0117,0.4581,0.1249,1,-0.2521,-0.0787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.4361,0.2386,0.0326,0.2589,0.6342,0.4178,0.2835,0.3713,-0.0045,0.0283,0.1215,-0.2521,1,0.4515,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.5337,0.4093,0.3285,0.1234,0.3769,0.5368,0.3394,0.4783,0.154,0.0694,0.1089,-0.0787,0.4515,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3013,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2405,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1177,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1988,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2622,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2678,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5044,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3587,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3701,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3342,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1556,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326
