"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneus",0.0368,0,0.0541,0,0,0,0,0.0809,0,0,0,0,0,0,0,0,0.0492,0,0,0,0,0.056,0,0,0,0,0,0
"L_supfrontal",0.0338,0.0355,0,0,0,0,0,0,0,0,0,0.0469,0,0,0.0327,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0.0345,0,0,0,0,0,0,0,0,0.0675,0,0,0,0,0,0,0,0.0764,0,0,0,0,0,0.0686,0,0
"L_postcingulate",0,0,0,0.0378,0,0,0,0,0,0,0.0591,0,0,0,0,0,0.0485,0,0,0,0,0,0,0,0.0426,0,0.0402,0
"L_mPFC",0.0248,0,0,0,0.0311,0,0,0,0,0,0,0,0,0,0.0239,0,0,0,0,0,0,0,0,0.0324,0,0.0396,0,0
"L_midtemporal",0.013,0,0,0,0,0.0403,0,0,0,0,0,0,0,0.0413,0.0124,0,0,0,0,0,0,0,0,0,0,0,0,0.0408
"L_antcingulate",0,0,0,0,0,0,0.0386,0,0,0.0657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613,0,0,0.0289,0
"R_precuneus",0,0,0,0,0,0,0,0.0432,0,0,0,0.0765,0,0,0,0,0,0,0,0,0,0,0,0,0.0188,0.0813,0,0
"R_supfrontal",0.0247,0.0604,0,0,0,0,0,0,0.0402,0,0,0,0,0,0.023,0.0371,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0.0521,0,0.0834,0,0,0,0,0,0,0,0,0.0609,0,0,0,0,0.0853,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0.0365,0,0,0,0,0,0.0634,0,0,0,0,0,0,0,0,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0.0368,0,0,0.0245,0,0.0466,0,0,0,0,0,0,0,0,0,0,0
"R_mPFC",0,0,0,0,0.0541,0,0,0,0,0.0478,0,0,0.0312,0,0.0212,0,0.0349,0,0.0508,0,0,0,0,0.0496,0,0,0,0
"R_midtemporal",0,0,0,0,0,0,0,0.0342,0,0,0,0,0.0313,0.0405,0,0,0,0,0,0,0,0.0339,0,0,0,0,0.0304,0
