"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",2.563,0.323,1.2738,1.8584,1.1367,0.7298,1.1515,1.7905,0.1666,1.1675,1.9691,0.8256,1.0893,1.0491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.323,1.3653,0.5469,0.6503,0.3826,0.3094,0.4368,-0.2159,0.8574,0.2842,0.1352,0.2817,0.2569,-0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",1.2738,0.5469,1.2989,1.0012,0.6238,0.4375,0.7361,0.8339,0.2134,0.7434,0.9017,0.8202,0.454,0.6606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",1.8584,0.6503,1.0012,4.9027,1.1458,0.5243,0.6788,1.9013,0.709,0.2369,5.5271,0.8374,0.9999,0.8211,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",1.1367,0.3826,0.6238,1.1458,1.8033,0.5078,0.8366,0.5527,0.0144,0.2325,1.1919,0.3376,0.6226,0.5223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.7298,0.3094,0.4375,0.5243,0.5078,0.7485,0.4646,0.1499,0.141,0.3168,0.512,0.0903,0.525,0.5811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",1.1515,0.4368,0.7361,0.6788,0.8366,0.4646,1.8986,0.5279,0.0718,1.8317,0.421,0.4239,0.6635,0.6867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",1.7905,-0.2159,0.8339,1.9013,0.5527,0.1499,0.5279,2.5157,0.2116,0.5919,2.5939,1.2543,0.7158,0.9585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",0.1666,0.8574,0.2134,0.709,0.0144,0.141,0.0718,0.2116,1.2944,0.156,0.4854,0.3075,0.0833,0.0073,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",1.1675,0.2842,0.7434,0.2369,0.2325,0.3168,1.8317,0.5919,0.156,3.7308,-0.0227,0.4471,1.0025,0.7743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",1.9691,0.1352,0.9017,5.5271,1.1919,0.512,0.421,2.5939,0.4854,-0.0227,8.0516,0.9772,1.1425,0.9522,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.8256,0.2817,0.8202,0.8374,0.3376,0.0903,0.4239,1.2543,0.3075,0.4471,0.9772,1.4262,0.325,0.6553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",1.0893,0.2569,0.454,0.9999,0.6226,0.525,0.6635,0.7158,0.0833,1.0025,1.1425,0.325,1.6675,0.7218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",1.0491,-0.0102,0.6606,0.8211,0.5223,0.5811,0.6867,0.9585,0.0073,0.7743,0.9522,0.6553,0.7218,1.2588,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2832,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6058,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1499,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3763,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4844,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1973,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2446,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3957,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3412,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7944,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4298,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4579,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4501,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3277
