"","L_precuneuslag","L_supfrontallag","L_angularlag","L_postcingulatelag","L_mPFClag","L_midtemporallag","L_antcingulatelag","R_precuneuslag","R_supfrontallag","R_antcingulatelag","R_postcingulatelag","R_angularlag","R_mPFClag","R_midtemporallag","L_precuneus","L_supfrontal","L_angular","L_postcingulate","L_mPFC","L_midtemporal","L_antcingulate","R_precuneus","R_supfrontal","R_antcingulate","R_postcingulate","R_angular","R_mPFC","R_midtemporal"
"L_precuneuslag",1.1383,0.0097,0.4957,0.5375,0.2168,0.2787,0.2904,0.8701,-0.0508,0.2277,0.1981,0.2923,0.7359,0.2198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontallag",0.0097,0.439,-0.037,0.4721,0.1333,0.1467,0.2106,-0.0766,0.1545,0.0156,0.2572,-0.1763,0.0333,0.0401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_angularlag",0.4957,-0.037,0.4047,0.0113,0.1117,0.1197,-0.0257,0.3342,-0.1098,-0.0153,-0.0927,0.2261,0.2933,0.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulatelag",0.5375,0.4721,0.0113,2.2138,0.163,0.3127,1.2241,0.4778,0.2813,0.8264,1.2613,-0.2177,0.4511,0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_mPFClag",0.2168,0.1333,0.1117,0.163,0.5016,0.1512,-0.0511,0.1768,0.0054,0.0524,0.1194,0.0461,0.448,0.1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_midtemporallag",0.2787,0.1467,0.1197,0.3127,0.1512,0.2502,0.079,0.1784,0.0509,0.0024,0.0677,-0.0479,0.2206,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_antcingulatelag",0.2904,0.2106,-0.0257,1.2241,-0.0511,0.079,1.6577,0.3299,0.1537,0.927,0.7571,-0.0383,0.3191,-0.0269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_precuneuslag",0.8701,-0.0766,0.3342,0.4778,0.1768,0.1784,0.3299,1.0598,-0.0504,0.329,0.1766,0.4659,0.7754,0.3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_supfrontallag",-0.0508,0.1545,-0.1098,0.2813,0.0054,0.0509,0.1537,-0.0504,0.2639,-0.0807,0.2262,-0.1363,-0.0847,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_antcingulatelag",0.2277,0.0156,-0.0153,0.8264,0.0524,0.0024,0.927,0.329,-0.0807,1.5646,0.5614,0.0205,0.5221,0.0215,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_postcingulatelag",0.1981,0.2572,-0.0927,1.2613,0.1194,0.0677,0.7571,0.1766,0.2262,0.5614,1.4456,-0.1674,0.2399,0.1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_angularlag",0.2923,-0.1763,0.2261,-0.2177,0.0461,-0.0479,-0.0383,0.4659,-0.1363,0.0205,-0.1674,0.5763,0.3652,0.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_mPFClag",0.7359,0.0333,0.2933,0.4511,0.448,0.2206,0.3191,0.7754,-0.0847,0.5221,0.2399,0.3652,1.4163,0.3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_midtemporallag",0.2198,0.0401,0.0856,0.256,0.1757,0.141,-0.0269,0.3429,0.03,0.0215,0.1079,0.141,0.3072,0.4202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0829,0,0,0,0,0,0,0,0,0,0,0,0,0
"L_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1511,0,0,0,0,0,0,0,0,0,0,0,0
"L_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1409,0,0,0,0,0,0,0,0,0,0,0
"L_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3137,0,0,0,0,0,0,0,0,0,0
"L_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1385,0,0,0,0,0,0,0,0,0
"L_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0624,0,0,0,0,0,0,0,0
"L_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0,0,0,0,0,0,0
"R_precuneus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0
"R_supfrontal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,0,0,0,0,0
"R_antcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5912,0,0,0,0
"R_postcingulate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6429,0,0,0
"R_angular",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2763,0,0
"R_mPFC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0
"R_midtemporal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1042
