L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-4.09703,0.182293,-0.833926,-1.45832,-0.83409,-0.200242,-4.20151,-3.18668,1.6528,-2.07393,-1.45738,-0.717183,-0.241587,-0.202506
-4.47176,0.382631,-0.657743,-1.79019,-0.538476,0.130358,-2.80811,-2.81027,0.899732,-1.06008,-2.63398,-0.454925,0.245701,-0.0550993
-3.35383,0.437971,-0.474101,-2.36785,-0.680864,-0.550085,-0.610004,-2.09593,-0.0858146,0.159542,-2.53523,-1.18072,0.279853,-0.559248
-2.59663,-0.399819,-0.681211,-2.43096,-1.16755,-1.4518,-1.67068,-2.21219,-0.357262,0.0905303,-1.37959,-2.06731,-0.330812,-1.32271
-1.3153,-1.42793,-0.43481,-1.4466,-0.881218,-1.06342,-2.44606,-1.34955,-0.560478,-0.0339784,-0.926899,-0.746863,-0.435178,-0.960061
0.466263,-1.73441,0.363391,-0.405595,-0.214706,-0.0039951,-1.45263,0.353737,-0.809184,0.451995,-0.756856,1.87523,-0.0923936,0.232893
0.921627,-1.33527,0.821162,1.37309,-0.054662,0.242401,-0.998589,0.912135,-0.454175,0.859509,1.75783,3.59025,-0.212877,0.710743
0.0689764,-0.0603707,0.546426,3.81147,-0.625911,-0.203037,-1.55501,0.341087,0.632684,0.022898,4.99403,3.18216,-0.705737,0.509958
-0.472067,0.898693,0.431369,5.63267,-1.34736,-0.552013,-2.69511,-0.0761299,1.28479,-1.7777,5.90528,1.72724,-0.921661,0.125308
0.0481785,0.541167,0.439496,5.99822,-1.19397,-0.630544,-2.19168,0.580536,0.620667,-2.03096,4.80501,0.917539,-0.535839,-0.140282
0.917447,-0.902387,0.0223532,4.89856,-0.487404,0.06326,0.200859,1.58107,-1.14733,-0.438767,2.92397,0.370683,0.378304,-0.177955
0.940384,-1.49925,-0.644396,1.9549,0.617591,1.46994,2.15706,1.89505,-2.13203,0.818554,0.502011,-0.970249,1.70836,0.410274
-0.332836,0.678837,-1.32997,-2.9573,1.83853,1.84897,3.44844,1.1286,0.11861,1.8676,-3.00264,-2.45015,2.68874,1.25205
-1.23308,2.46109,-0.992525,-4.37332,1.3052,0.800211,3.02094,-0.142948,2.31784,2.33362,-3.85846,-3.51458,1.70333,0.902006
-0.0558018,1.64986,0.049215,0.304283,0.166514,-0.144191,1.12464,0.175158,1.43106,1.15124,0.469681,-2.92081,-0.29142,-0.0363681
0.811035,0.960048,-0.156106,2.0607,-0.050703,-0.524839,-0.750653,0.648011,0.750954,-0.626296,2.15784,-0.257237,-1.03344,-0.351383
-0.410821,1.2573,-0.535929,-1.61395,0.172599,-0.491613,-0.616694,-0.815889,1.38077,-0.988698,-1.23798,1.62386,-0.65775,-0.509877
-0.683376,0.646651,-0.236007,-2.40808,0.588373,-0.194863,1.35977,-1.47992,0.647261,-0.426493,-2.53632,0.878502,-0.429969,-0.414536
0.749362,-0.161766,-0.241447,-0.943721,0.672859,0.291748,1.91708,-0.218615,-1.20424,-0.401607,-2.01009,-1.76928,-0.396392,0.13327
2.08824,-1.05551,0.0451516,-0.95029,0.816504,0.621861,1.67447,0.710073,-3.06777,0.263637,-2.60166,-3.40022,-0.168593,0.265777
2.35879,-2.57222,0.369632,-0.867753,0.571636,0.453872,0.451126,0.231641,-4.31575,0.257286,-2.34822,-2.85283,-0.501216,-0.237279
0.93831,-2.20698,0.322349,-0.681553,-0.480255,0.177658,-1.47352,-0.912926,-3.10372,-1.13189,-1.08036,-1.91052,-1.04253,-0.762313
-1.00241,-0.334731,0.300446,-1.41625,-1.39851,-0.257786,-1.77049,-1.76438,-0.744378,-1.24646,-0.810024,-0.938842,-1.00026,-0.942301
-1.42883,1.03515,0.436001,-1.54531,-1.51802,-0.860651,-1.26552,-1.70347,0.687343,0.0527853,-0.675131,0.564271,-0.566334,-1.07754
0.402431,1.05466,0.360959,0.73846,-0.700481,-1.02256,-0.156669,0.0785627,0.677485,1.25499,1.15973,1.75783,-0.0706563,-0.618031
2.39942,0.222693,-0.266912,3.63191,0.613052,-0.418254,2.43954,2.27194,-0.118413,1.88222,2.98609,1.58974,0.501922,0.507716
3.25379,-0.239947,-0.50971,4.51218,1.53191,0.563255,4.74209,3.4507,-0.833158,1.85981,2.86617,0.831384,1.02424,1.10735
3.5706,0.636156,0.102896,4.20547,1.23866,1.01141,4.79092,3.69953,-0.626932,0.933636,2.43291,0.79774,0.881339,1.07501
2.62384,1.69409,0.888987,2.88227,0.291812,0.537827,2.66173,2.45346,0.57498,-0.370317,1.58619,1.40974,0.422685,0.724252
0.749758,1.47549,1.07576,-0.0676765,-0.165842,0.0922937,0.00269438,0.434085,1.38064,-0.978377,-0.924541,1.03646,0.302287,0.167455
-0.353565,1.10774,0.854105,-2.01439,-0.244405,-0.0169772,-1.26164,-0.980171,1.84306,-0.414427,-2.19894,0.53195,0.0987209,-0.25508
-0.530601,0.918868,0.639605,-1.98087,-0.57527,-0.333398,-1.82846,-1.4273,2.15768,0.582499,-0.84799,1.78324,-0.247526,-0.265194
-0.728632,0.6645,0.307686,-1.02045,-0.821139,-0.554802,-1.7161,-1.26845,1.75769,1.24367,1.02825,2.505,0.0205688,0.0255976
-1.48692,0.208791,-0.0497801,0.179623,-0.959177,-0.513117,-0.848356,-1.21645,0.953383,1.24188,1.85398,1.60667,0.530654,0.257318
-2.20044,-0.656515,-0.395507,-0.584505,-1.07934,-0.410846,-1.48018,-1.13526,0.132574,-0.0473966,0.221308,0.826255,0.357256,0.215035
-2.22923,-1.38758,-0.748303,-2.73072,-0.593772,0.0299854,-2.38373,-0.604531,-0.784041,-1.39257,-2.45601,-0.50688,-0.186081,-0.0108628
-1.50634,-1.69924,-0.385387,-2.43464,0.227495,0.515265,-1.48548,-0.0595211,-1.58324,-1.12149,-2.41488,-1.7762,-0.580656,-0.369374
0.0721969,-1.40343,0.680275,0.968678,0.956917,0.375974,0.673151,0.306713,-1.73791,0.203469,0.674455,-0.764977,-0.765642,-0.673434
1.66683,-0.356463,0.784661,3.22878,1.17091,-0.333295,2.43495,0.712366,-1.04753,0.909397,3.4048,-0.064601,-0.362463,-0.380623
1.57846,0.019431,-0.059471,0.946335,0.132336,-1.15309,1.31695,0.434753,-0.028415,0.841505,1.91721,-0.547322,-0.115615,-0.295481
1.15422,0.391925,-0.10596,-0.564969,-0.942489,-0.686068,-0.0538002,0.596726,1.08543,0.925161,-0.04744,0.643753,-0.423169,-0.472162
1.31346,0.664204,0.265904,0.236944,-1.03524,0.400846,0.0982661,1.39999,0.972969,0.227062,0.688542,1.6702,-0.569577,0.00111078
-0.70751,0.548447,0.260964,-1.27676,-1.12559,0.00616212,-0.416395,-0.414831,0.297995,-0.573882,-0.515689,0.0442052,-0.401217,-0.0703751
-2.60951,0.55706,0.265974,-2.26928,-1.17802,-0.761342,-0.603024,-2.66539,-0.0628557,-0.325004,-2.641,-1.56579,-0.193216,-0.780882
