L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
1.01627,-0.39005,0.635904,-0.933464,2.08628,0.916658,2.2673,-1.26452,-0.713824,0.669435,-2.22754,0.156541,0.109359,0.373204
0.955341,0.120834,0.668033,-0.434509,2.45548,0.658621,1.49452,-0.693735,-0.377439,-0.175566,-1.38643,0.42702,0.935954,-0.386998
-1.98952,-0.163342,-0.234896,-2.35565,1.44963,-0.45183,-1.75365,-1.88549,0.149246,-3.10028,-0.913199,1.00097,-0.79191,-1.17077
-3.51944,-1.15869,-1.14176,-2.7894,0.262973,-1.21035,-3.19184,-2.26924,0.27438,-3.31012,-0.366935,1.03361,-2.38926,-1.13924
-1.95397,-1.20711,-1.40317,-1.38156,-0.56413,-0.636127,-1.34618,-0.550245,0.149134,-0.169842,0.371569,0.218935,-1.39633,-0.382692
-0.918274,-0.59594,-1.18246,-0.644139,-1.06931,0.321632,-1.06664,0.556598,0.149424,0.960145,0.605114,-0.426668,-0.279207,0.328105
-1.26365,-0.889793,-0.659184,-0.519844,-1.23568,0.407917,-3.17516,0.126308,-0.15517,-0.718748,0.0445533,-0.343586,-0.95601,0.439494
-0.479728,-1.06147,0.0142294,-0.374271,-1.10859,0.0717504,-3.77453,0.228617,-0.493003,-1.56366,-0.552451,-0.280099,-0.936411,0.112448
1.23625,-0.211149,0.785212,-0.178951,-1.2175,-0.313455,-2.6645,1.18546,-0.453205,-0.83954,-0.590955,-0.181447,-0.016851,-0.34704
1.18491,0.168138,1.23105,-1.06005,-1.4343,-0.852959,-2.01344,1.44293,-0.251437,0.289509,-0.00796412,0.500932,0.263502,-0.39582
-0.306578,-0.0395862,1.20935,-1.92973,-1.64657,-1.0312,-1.00069,0.761188,0.38474,1.28639,0.945257,1.42442,0.25368,-0.185461
-1.359,-0.200247,0.877389,-1.65583,-1.74814,-0.669264,0.330923,-0.329036,0.805011,0.771508,1.33105,1.89222,-0.245301,-0.581084
-0.961864,0.100542,0.633043,-0.489009,-0.80916,0.25713,1.48852,-0.836126,0.653279,-0.116095,1.17393,1.43125,-0.0920937,-0.818383
0.139144,0.817047,0.685071,1.16408,0.149214,0.927076,1.74693,-0.611706,0.691725,-0.917051,0.682409,0.779244,0.524396,-0.390701
0.334633,0.653533,0.335552,1.20056,-0.063729,0.423931,0.0576517,-0.492913,0.475613,-2.45819,-0.649239,0.421349,-0.317049,-0.000310206
-0.0631931,0.0147545,-0.314664,0.219676,-0.765094,-0.353398,-1.26839,-0.478584,0.0489979,-2.50671,-1.59209,0.245349,-1.88045,-0.0756067
-0.149217,-0.0790405,-0.596089,0.0111848,-1.1695,-0.477507,-0.937719,-0.342621,-0.020307,-0.976287,-1.05511,0.13507,-2.66291,-0.316958
0.595335,-0.0407419,-0.53574,0.658675,-0.584842,-0.119151,0.208181,0.43004,0.0548053,0.0933723,0.23058,0.564561,-1.59591,-0.0995609
1.96316,-0.0805456,-0.359872,2.33712,0.0935614,-0.0806461,1.82604,1.83359,0.148059,0.806827,1.56237,1.28741,0.844136,0.307718
2.6283,-0.213369,-0.15263,2.4826,0.269466,-0.527014,3.52542,2.44859,0.0973739,2.09373,1.84118,1.19034,2.70637,0.568035
0.745502,-0.487725,-0.138751,-0.375138,-0.00353103,-1.14782,3.54154,0.693502,-0.134068,2.51013,0.213196,1.12276,1.84615,-0.032637
-2.40501,-0.738746,-0.269573,-3.22689,-0.763574,-1.49684,1.63048,-1.8856,-0.41419,1.79091,-1.66375,1.42316,-0.505251,-1.21989
-2.73325,-0.568204,-0.0938332,-2.77821,-0.703516,-0.953041,0.518968,-1.78414,-0.29745,1.95307,-1.21744,0.890663,-0.449299,-0.982619
-0.532968,0.0754103,0.284245,-0.454227,0.0707123,0.078726,-0.433416,-0.0317482,0.0262692,1.91922,0.43161,-0.390374,0.917166,0.0871386
1.08965,0.335971,0.888453,0.462961,0.491785,0.904466,-1.16456,0.764396,0.0795537,1.10813,0.960811,-1.06779,1.05483,0.126395
1.46713,0.143289,1.5305,0.504098,0.249521,1.05207,-0.0353408,0.705874,-0.176094,1.00656,1.26975,-1.33584,0.449334,-0.475493
0.934151,0.246818,1.22555,0.328156,0.0734312,0.806872,0.393004,0.333149,-0.478751,0.542714,2.15375,-1.92802,0.404138,-0.306313
0.147707,0.229752,0.281216,0.441419,0.256608,0.686719,-1.09632,0.352711,-0.433006,-1.37738,2.48918,-1.3306,1.02875,0.571026
0.212393,-0.252963,0.196902,1.23763,-0.187769,0.33516,-1.40812,1.09559,-0.450189,-1.83353,1.80042,0.485284,0.691589,0.78094
1.68123,-0.341105,0.979883,1.68279,-0.672059,-0.0555733,0.342954,2.21628,-0.551635,0.691055,0.334889,0.848403,0.507398,0.604878
2.85784,0.122406,1.22608,1.13045,0.0771112,0.23572,1.61346,2.52875,-0.136536,2.78718,-1.15183,-0.0865815,1.63212,0.865401
2.01241,0.771449,0.655374,0.103782,0.823966,0.722435,0.928925,1.06863,0.541895,2.058,-1.58591,-0.57783,1.51367,0.551081
1.18763,1.46616,0.0758088,0.736182,0.397862,0.821994,-1.00892,0.087528,0.925306,0.22463,-0.671704,-1.29096,0.534395,-0.0857016
1.48946,1.60739,-0.149967,2.12794,-0.218291,0.667157,-2.37218,1.0855,0.854163,-0.502769,0.361664,-1.98439,0.714612,-0.0595462
0.736132,0.939333,-0.490558,1.08285,-0.696832,0.0501519,-2.57145,1.40895,0.42907,-0.292691,0.242493,-1.98453,0.68542,-0.302186
-0.579647,0.123691,-1.07379,-0.462336,-0.559578,-0.337343,-1.32359,0.211287,0.0673912,0.306983,-0.173755,-2.40125,0.266662,-0.42603
-0.595028,-0.0938185,-0.812057,-0.703252,-0.332436,-0.136302,-0.0994061,-0.475597,-0.0222599,0.071448,-0.0498165,-1.97444,-0.00716318,-0.0489083
0.434606,-0.183426,0.274282,-0.650102,-0.623227,0.111646,0.131601,0.0859549,-0.0165961,-1.21372,0.362684,0.244423,0.0120911,0.188815
1.63258,-0.62201,0.517069,0.115915,-0.181639,0.352704,0.93599,1.10203,-0.186082,-1.38294,0.176029,1.37178,0.886847,0.745053
1.6844,-1.14735,-0.317287,0.769585,0.953651,0.278457,1.60405,1.4038,-0.498255,-0.30044,-0.525938,0.689126,1.10761,1.1061
0.665387,-1.41108,-0.865086,0.685467,1.14468,-0.394438,1.71846,0.567154,-0.468041,1.10984,-0.900344,0.0223252,-0.161065,0.120877
0.0167138,-1.05852,-0.585214,0.623688,0.125119,-1.02374,2.05432,-0.349872,-0.134862,2.37079,-0.603867,0.0409065,-1.27002,-0.962128
-0.0614035,-0.297596,-0.203096,0.681041,-0.347729,-1.00471,1.81357,-0.502573,-0.031725,2.39406,0.405375,-0.0932206,-0.87852,-0.527102
-0.768413,0.228534,-0.431721,0.0182793,0.195143,-0.625521,0.40225,-1.027,-0.250913,0.722151,0.557567,-0.804613,-0.250694,-0.0769349
-1.88285,0.317118,-1.09252,-0.199453,1.33363,-0.230931,1.15706,-2.0662,-0.311876,-0.228508,-0.414589,-1.41173,-0.738888,-0.653354
-1.7886,0.516329,-1.09725,0.618334,1.81781,-0.0318361,3.95903,-2.05132,-0.287142,1.02857,-0.663459,-1.52128,-1.53503,-1.24717
-0.497043,1.17687,-0.420873,0.995586,0.963273,0.165589,3.62877,-0.880429,-0.342012,1.64611,-0.186425,-1.35882,-0.708348,-0.99711
0.0428878,1.35227,0.102204,0.119982,0.171353,0.287545,-0.254496,-0.32482,0.158591,-0.536788,-0.682045,-0.537183,0.867823,-0.570576
-0.874877,0.307672,0.348372,-1.14114,-0.327607,-0.0108426,-3.77725,-0.832793,0.877909,-3.40173,-1.46406,1.05831,0.630635,-0.748658
-1.16897,-0.573356,0.280751,-0.551708,-0.413399,0.0246822,-3.38767,-0.507327,0.993163,-3.10416,-0.466781,1.73752,0.113282,-0.09269
-0.368969,-0.196069,0.0781326,0.521481,0.0261799,0.505683,-0.843754,0.505161,0.736392,-0.0790282,1.4285,0.674144,0.627494,1.08959
