L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
1.0904,1.53153,2.02847,2.05791,1.33482,0.612774,-2.64305,-0.393887,1.38057,-0.119219,-0.555461,0.657515,0.918943,0.722515
1.00583,0.0285975,0.702409,1.21052,0.507707,0.0655153,-0.416321,0.4143,0.292246,0.742238,0.123527,1.0962,0.164566,0.225112
0.227856,-0.669536,-0.130861,-0.474932,-0.920941,-1.00331,2.65555,1.44304,-0.557563,2.13815,0.634012,2.24199,-0.217787,-0.0421607
-1.28905,-1.33521,-0.597751,-1.64796,-2.85449,-1.52669,0.801299,1.14532,-1.52157,1.14218,-1.29503,2.35168,-1.07014,-0.343303
-1.57007,-1.79601,-0.625495,-0.689001,-3.20602,-1.37413,-2.60229,1.07201,-1.86227,-0.31626,-2.4503,1.89489,-1.21309,0.18666
-1.01344,-0.931236,-0.471296,1.07683,-2.32054,-0.879053,-4.2743,1.4327,-0.675143,-1.02749,-1.21002,1.59035,-0.670799,0.929299
-1.6846,0.0483238,-1.70065,0.559657,-1.50451,-0.127025,-4.88033,0.0135521,0.493652,-2.43266,-0.354425,-0.231115,-1.10002,0.211231
-2.97232,0.237761,-3.40328,-1.47199,-0.765261,0.451131,-1.91803,-2.36414,0.752806,-2.6491,-0.923378,-2.67998,-1.59083,-1.24672
-3.86094,0.0569481,-4.31003,-3.47756,-0.471247,0.239447,1.81956,-3.47316,0.657703,-0.913832,-1.90269,-3.58891,-1.06079,-1.81675
-3.42674,-0.123145,-4.69076,-3.9793,-0.288293,-0.497018,1.09285,-2.4037,0.311196,0.806396,-2.25118,-2.72877,-0.137202,-1.24988
-0.452114,-0.442098,-3.21341,-1.50778,0.0664136,-0.562532,-0.0403942,0.51446,-0.315935,2.12124,-1.33883,-0.146548,0.569284,-0.0960822
3.07718,-0.22069,-0.133716,2.11095,0.306816,0.240227,-0.136655,2.7054,-0.598913,1.9344,-0.135832,1.94088,0.534795,0.562724
5.40243,0.806297,2.4178,4.28462,1.29015,1.23517,-1.5779,3.10378,-0.511057,0.224483,0.942499,1.80728,0.976812,1.0353
6.6317,1.16579,4.19107,3.99692,2.7308,1.57696,-2.16966,3.18022,-0.591385,-1.12675,2.28894,0.491105,1.85389,1.75783
5.44733,-0.223702,4.81801,1.77471,2.5556,1.35663,-1.86511,2.56011,-1.10176,-2.30981,3.04794,-0.68758,0.964984,1.57542
2.35048,-1.8219,3.74194,-0.747723,1.11268,1.05036,-1.83298,0.842287,-1.32426,-2.71121,2.20008,-0.83596,-0.157731,1.05931
0.0899702,-1.67759,2.34374,-2.40152,-0.0678383,0.517282,-0.349546,-0.483124,-0.686563,-1.73338,0.852673,-0.384272,-0.350223,0.939887
-0.495936,-0.549598,1.41674,-2.4026,-0.423323,-0.296635,1.11646,-0.924154,0.132455,-0.862377,0.596693,0.0833936,-0.32312,0.400445
-1.5332,-0.479487,0.130852,-2.0045,-0.833063,-1.28031,-0.362933,-1.73094,0.0247641,-0.980293,9.72E-05,0.0957254,-0.397058,-0.579375
-2.01443,-0.547828,-0.570473,-1.7524,-0.573249,-1.09047,-3.19243,-1.97248,-0.203743,-0.882554,-0.73537,0.354153,-0.322235,-0.854101
-1.66678,-0.390033,-0.601865,-0.989343,-0.276667,-0.239934,-5.58667,-1.89929,-0.163677,-1.4995,-0.890977,0.487235,-0.78213,-0.899486
-1.53846,-0.177722,-1.12188,-0.188706,-0.668797,0.0196128,-5.82883,-1.93105,0.00624556,-2.32668,-1.48238,0.32739,-1.31622,-0.636751
-1.07433,0.152869,-1.80799,0.168967,-0.122649,0.328112,-3.44705,-1.06139,0.199717,-1.47958,-2.27746,0.495819,-0.413327,0.317297
-0.57255,-0.107701,-2.50665,1.10594,0.922309,0.595832,-0.316971,-0.410507,0.00443934,-0.0710876,-1.67694,-0.750273,0.402022,0.3115
0.0979481,0.523417,-2.97278,2.65068,1.38334,0.294188,2.59746,-0.669671,0.90004,1.53499,0.694101,-2.87454,0.27145,-0.881328
-0.310523,0.718477,-2.27685,1.80143,0.184099,-0.598769,2.83132,-1.63035,1.58204,1.57845,2.1493,-2.80098,-0.210538,-1.48345
-0.0888624,0.184526,0.174072,0.3753,-0.86765,-1.06295,0.522301,-0.944847,1.19378,0.764075,1.99252,0.226275,0.282916,-0.459496
0.47403,0.248117,1.64819,1.36029,-0.817364,-0.657199,-3.08717,0.480341,0.548897,-0.269785,1.13296,2.46637,0.709681,0.554296
-0.744662,-0.290925,-0.240576,2.7514,-0.974443,-0.3753,-5.61179,-0.0557545,-0.410775,-1.74959,-0.133172,1.22659,-0.49014,0.305225
