L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-1.02857,0.484656,-0.220128,0.254114,0.790812,-0.956054,1.17676,-1.32876,0.250157,-2.36383,-0.365047,-0.397138,1.27447,-1.00259
-0.372096,0.161905,0.328815,-0.134331,0.748042,-0.288558,0.198373,-1.0958,-0.190174,-3.19498,-0.883504,-0.572227,1.27288,0.150029
0.719682,-0.0070609,1.12866,0.188203,0.490445,0.551929,-1.55867,0.0381895,-0.674146,-2.69327,-0.629452,0.260877,1.05277,1.97042
0.873739,-0.225148,1.27094,0.467878,0.891119,0.640759,-1.84428,1.21996,-0.687753,-1.10253,0.0586379,1.71745,1.22012,2.72584
0.305971,-0.778114,0.91707,-0.221265,1.02196,0.199615,-0.780016,1.67226,-0.206008,0.619434,0.525884,2.40279,1.12755,2.749
-0.411597,-1.07352,0.831004,-0.772237,-0.186306,-0.412978,0.539075,2.00648,0.650722,2.43136,1.42007,2.39359,0.314937,2.65732
-1.62898,-0.880539,0.843125,-0.534353,-1.41461,-0.678736,1.43104,1.61578,0.977026,4.22538,1.92585,2.67387,0.0599359,2.52584
-3.67087,-0.48548,-0.822381,-0.358908,-1.698,-0.818535,0.643578,-0.931123,0.604756,3.90486,1.12508,1.23823,0.23941,1.80174
-4.53934,-0.458625,-3.34811,-0.466794,-1.53686,-0.718967,-1.4276,-3.14135,0.144531,0.897953,0.276352,-1.85811,-0.240782,0.378579
-3.37519,-0.109828,-4.077,-0.958155,-0.954734,-0.33838,-2.31044,-3.18806,-0.378203,-1.64423,-0.797708,-3.54424,-0.980606,-0.436468
-2.12328,1.1215,-3.13767,-1.81357,0.0717796,-0.703991,-0.96708,-2.77946,-0.630003,-1.34936,-2.14683,-3.95855,-1.30553,-0.654127
-1.56307,2.26337,-1.71376,-2.84582,0.703003,-1.11103,0.913209,-3.19332,-0.439548,0.947299,-3.26191,-4.38196,-1.05996,-0.802998
0.32041,2.01352,0.363858,-2.8573,1.47307,-0.578874,2.81579,-1.72401,-0.2391,2.80274,-3.13406,-2.92035,0.101455,-1.28129
2.44889,0.186997,1.67407,-1.47988,2.06353,-0.27208,3.80597,0.879314,-0.621598,1.69125,-1.22804,-0.429779,1.10199,-2.46696
2.37104,-1.1391,0.507808,-0.780575,0.662018,-0.247751,1.94581,0.798675,-1.07947,-0.871092,0.3489,-0.751043,-0.397652,-3.84274
1.41518,-1.29586,-1.32983,-0.862883,-0.952204,0.143145,0.0220785,0.0702036,-0.955827,-0.779126,-0.0920347,-2.27821,-2.62051,-5.25551
0.615194,-1.10444,-1.98974,-0.871955,-1.19002,0.149754,-0.192364,0.243901,-0.769714,1.34347,-1.85725,-2.8117,-2.98343,-6.2562
0.609844,-0.449053,-1.50972,0.715689,-1.19186,-0.150278,-0.478576,1.52225,-0.437489,1.92715,-1.45229,-2.01568,-2.05302,-5.42293
0.92003,0.0537631,-0.956327,3.88021,-1.47352,0.256345,-0.866129,2.89802,0.0387794,0.671238,1.62729,-0.324292,-1.46083,-2.47864
0.126708,0.0788962,-1.19845,4.47285,-1.84532,0.567409,-0.310122,2.67453,0.457224,1.07732,3.48,0.916339,-1.64547,0.240178
-0.653795,0.225417,-1.04479,2.17166,-1.53218,-0.0605983,1.71156,2.37774,1.01803,2.95615,3.04487,2.472,-0.900982,1.7979
-1.10958,-0.219759,-0.472542,0.53988,-0.743096,-0.402437,2.36168,1.58406,0.899663,2.44724,1.25239,3.44955,0.28972,2.85643
-1.94422,-0.964688,-0.762037,0.128204,-0.834872,-0.230745,0.492875,-0.212723,0.16786,0.491672,-1.38712,2.34341,0.23232,3.01618
-2.30034,-0.856877,-0.956122,0.749731,-1.1845,-0.475927,-0.441804,-1.24745,-0.0549587,-0.763855,-2.92388,0.605351,-0.161526,1.33117
-2.38024,-0.917713,-0.624441,1.44524,-0.654788,-0.577583,-0.438255,-1.99721,-0.11101,-1.53506,-2.54204,-0.912171,-0.232867,-0.681177
-1.71984,-1.12504,0.234239,0.832113,0.481232,-0.00487491,-0.24043,-2.08441,-0.283433,-1.16606,-1.15932,-1.29228,-0.405795,-0.68762
0.362567,-0.94402,1.92998,0.345679,1.24437,0.572833,0.445528,-0.589851,-0.374037,-0.316618,0.270734,-0.00390604,-0.121533,-0.224387
1.99719,-1.12618,2.80127,0.238502,0.818174,0.589502,0.0375933,0.425561,-0.728068,-1.1456,0.902538,1.00756,0.823496,-0.114507
2.48892,-0.594897,2.03624,-0.770944,0.0910465,0.0183689,-1.06767,0.361345,-0.917727,-2.12722,0.384847,0.483431,1.50418,-0.223312
2.49027,1.23979,0.754568,-2.96236,0.331383,-0.506156,-0.765921,0.394656,-0.509322,-0.501517,-1.39202,-0.860125,1.06477,-0.65587
2.06136,1.77611,0.151289,-3.22979,0.575472,-0.811769,0.0285899,0.503483,-0.0108525,0.846171,-1.8615,-1.08188,0.124359,-0.687689
1.38619,0.567778,0.398077,-0.534665,0.108285,-0.56944,-0.922226,0.237717,0.274681,-0.314795,-0.145149,0.383467,-0.178302,0.346089
0.4276,-0.370152,0.654954,0.875267,-0.229357,0.501743,-1.98582,-0.114268,0.0959892,-0.989699,1.10814,1.53338,-0.326607,1.89249
-1.03947,-0.498456,-0.265436,0.657483,-0.746694,0.983935,-1.29269,-0.286453,-0.408574,-0.2999,1.42535,0.723179,-0.808401,1.97407
-1.55177,0.270096,-1.67942,0.378977,-1.38568,0.187084,0.09017,0.0888731,-0.672598,-0.14616,1.24094,-1.03138,-0.906867,0.231495
-0.573432,0.723808,-2.17499,0.0160438,-1.53891,-0.522639,0.342306,0.575353,-0.767436,-1.10237,0.779544,-2.38954,-0.52373,-1.46616
0.437189,0.373673,-2.0335,-0.00930399,-0.949723,-0.208168,-0.496546,0.193802,-0.649786,-1.98863,0.461478,-2.97757,0.0155206,-1.14928
1.25748,0.265077,-0.576019,0.283806,0.00353166,0.352943,-0.888851,-0.0940039,-0.0399638,-2.07237,0.724577,-1.31205,0.622865,0.44916
1.68688,0.520612,1.81097,0.269615,0.706389,1.01071,-0.711837,0.212409,0.802559,-1.26515,1.23294,1.92031,0.873626,1.80312
1.08005,0.834716,2.77787,-0.0743841,1.58098,1.83686,-0.517354,0.278413,1.29394,0.214796,1.16497,2.99449,0.794782,1.89503
0.0207452,0.861271,1.96229,-0.00386892,2.12543,1.86231,-0.369124,0.10737,1.2731,1.64241,0.889515,1.42303,0.379406,0.769636
-0.471677,0.527986,0.631942,0.782411,1.62623,0.897616,0.323752,0.334323,0.927611,2.63227,1.20033,-0.0325711,0.00408411,-0.11607
-0.0154746,0.185773,-0.206613,1.77364,0.878814,0.29824,1.41674,0.748819,0.402583,2.66163,1.56154,-0.382595,0.704089,0.277714
1.1296,0.190707,-0.0495058,2.81795,0.383679,0.74691,1.74966,1.06948,0.185518,1.59315,1.46479,0.192443,1.90726,1.53492
1.53532,0.688514,0.341348,2.88201,-0.102117,1.11301,0.427237,0.551587,0.402161,-0.226577,0.858263,0.550842,1.41347,1.78159
0.527821,1.39636,0.28811,1.21401,-0.0636847,0.851588,-1.05151,-1.01597,0.853072,-1.67865,0.0710468,-0.0462913,-0.68462,0.551388
-0.574252,1.23071,0.612808,0.221508,0.516999,0.533694,-0.950996,-2.23255,1.15692,-1.6951,0.119752,-0.110958,-1.89833,-0.352811
-0.510665,0.185456,1.46766,0.528405,0.848784,0.459521,-0.21395,-2.19708,0.85826,-0.954489,0.366442,0.650373,-1.48354,-0.226375
1.01301,-0.457644,2.63506,1.3564,0.915563,0.543103,1.10179,-0.555879,0.566922,0.00645756,0.194864,2.1922,0.284705,0.195789
2.27073,0.270018,3.52138,2.36815,1.09281,0.930752,2.06807,0.885657,0.746974,0.789918,-0.124812,3.86069,1.92909,0.720583
1.28772,1.53909,3.46744,1.84699,1.96536,1.67313,2.00278,0.326194,0.904406,1.23758,-0.90953,4.33565,2.59466,1.70304
-1.34398,1.32451,2.70537,-0.273683,2.02987,1.45095,1.38428,-1.85017,0.603724,0.902706,-1.51862,3.51425,2.2011,2.03496
-3.61215,0.362739,1.0546,-2.06895,0.177227,-0.243934,-0.283249,-4.17703,0.142087,-0.813039,-1.26693,1.40312,0.313892,0.182487
-4.85971,-0.410266,-1.42656,-2.9205,-1.26498,-1.67343,-1.92651,-4.79185,-0.219898,-2.81021,-1.18779,-1.56796,-1.48468,-2.46882
-5.20247,-1.52145,-3.81004,-3.38825,-1.74701,-2.06501,-2.88646,-3.67831,-0.602104,-4.24765,-1.07847,-3.88536,-2.59545,-4.49665
-3.68289,-1.84044,-4.32677,-2.82287,-1.59137,-1.87394,-2.60951,-1.2859,-0.600703,-4.12912,0.193372,-3.34346,-2.72124,-5.51549
-0.814242,-1.31043,-2.80935,-2.1374,-0.197225,-0.97978,-1.44633,1.03482,-0.307449,-1.9271,0.762442,-1.62291,-1.59939,-4.92461
1.50881,-0.702212,-1.10595,-2.65889,1.00884,0.491985,-0.770166,1.72317,-0.286565,0.334705,-0.643215,-1.42704,-0.408149,-2.77689
2.54736,-0.0803355,0.231633,-2.15397,0.76548,1.04283,0.185055,1.70381,-0.316151,1.70361,-1.47228,-0.876606,0.47031,-0.343757
2.86607,0.00403059,0.757782,-0.122869,0.0990019,0.442788,1.10648,1.67354,-0.236402,2.74778,-0.996191,0.360518,0.860905,0.824863
3.39719,0.0808517,0.493534,1.67693,-0.342657,0.21727,0.705451,1.78678,-0.239223,2.46507,-0.319464,0.924593,0.856448,0.93349
3.8642,0.899852,0.872131,2.94002,-0.553818,0.499219,-0.454204,1.95947,-0.191395,0.497029,0.745129,1.08781,1.02868,0.836113
3.81694,1.13839,1.80358,3.25068,0.0314219,0.6002,-1.72963,1.81043,-0.193675,-1.39746,0.966767,1.3045,1.32437,1.18555
3.69721,0.0493873,2.43875,1.41998,0.941743,0.325317,-1.52723,2.04991,-0.169878,-1.27542,-0.516814,2.10051,1.69405,2.28231
3.28823,-0.532685,2.51085,-1.10292,0.8417,-0.318343,0.225018,2.60685,0.050731,0.259592,-1.31183,2.79655,1.63193,2.93605
