L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-1.0745,0.529239,1.07541,0.597222,0.686851,0.0794491,-0.793087,-1.04723,0.0936533,2.00317,0.75768,2.0486,0.57961,0.201627
-1.17866,0.338408,-0.14358,-0.0164663,-0.15725,-0.0067744,-0.656909,-1.44593,0.214979,-0.758279,-0.429711,-1.26635,0.11305,0.0222348
1.39556,0.708892,-0.922792,0.651674,0.418724,0.553744,2.49949,0.894419,0.597062,-1.88761,-0.664294,-2.94842,0.032623,0.505024
3.70307,0.682214,0.0182084,0.258619,1.18725,0.771535,3.42306,2.98546,0.32301,0.546839,0.246527,-0.350433,0.0526363,0.844537
3.4536,0.0737194,0.928152,-0.971198,1.19606,0.493117,1.41952,3.27733,-0.17376,2.80472,0.290712,2.34264,0.774535,0.514835
1.54502,-0.0786412,0.926908,-0.845128,0.841484,0.163654,-0.090523,2.42823,0.226815,3.13339,0.138061,2.63205,1.55728,0.336921
-0.360523,0.0651124,0.563446,-0.122667,0.154414,0.201997,-1.00749,0.462175,0.704336,2.16555,0.443157,1.29172,0.721948,0.489791
-0.925254,0.0154117,0.166587,0.46728,-0.380388,0.582554,-0.590694,-0.864376,0.73321,0.930906,0.523502,0.154076,-0.069046,0.71429
-0.852522,0.0777281,-0.258424,0.850019,-0.798707,0.386223,0.308379,-1.08895,0.551287,-0.440773,0.134525,-0.52397,-0.0922209,0.194605
-0.831776,0.0573277,-0.751086,0.548143,-0.884678,-0.222292,-0.116085,-1.41369,-0.135075,-1.56911,-0.475327,-1.63641,-0.0919032,-1.01793
-0.590843,-0.253985,-0.725977,0.0958193,-0.640639,-0.593092,-0.420405,-1.86107,-0.575352,-1.26524,-0.615666,-1.76585,-0.286787,-1.20943
-0.991373,-0.384942,-0.58968,1.11135,-0.322936,-0.784102,0.252586,-1.89338,-0.430836,-0.348943,-0.339083,-0.843691,-0.749901,-0.353123
-2.8242,-0.723669,-0.885596,1.71697,-0.995917,-0.953292,-0.833802,-2.58537,-0.508657,-0.0395663,0.280056,-0.289514,-1.11132,-0.109179
-4.70092,-1.17148,-0.791629,0.352023,-1.90257,-0.598395,-2.33124,-3.51844,-0.461094,0.394305,0.742902,0.663577,-0.43627,-0.225756
-4.58718,-1.2694,-0.483884,-2.13734,-1.10223,-0.0638957,-2.24508,-2.70041,-0.381275,0.531621,-0.155042,1.29537,0.933804,-0.043473
-2.6088,-0.585944,-0.489049,-3.25068,0.108429,-0.0839629,-1.92863,-0.741355,-0.271605,-0.56533,-1.39754,0.501632,0.978628,-0.174269
-0.955337,0.7835,-0.525909,-1.22501,-0.217427,-0.235374,-1.67713,-0.204501,0.105214,-1.79558,-0.478065,-0.709241,-0.320444,-0.895937
-0.735105,1.39658,-0.796375,1.31692,-1.16663,-0.296544,-1.06396,-1.29685,0.38029,-1.86997,1.85943,-1.46462,-1.19808,-1.00232
-0.67663,0.705054,-1.01839,1.58019,-1.28515,-0.482414,0.167108,-1.42896,0.736741,0.233769,2.70091,-1.02995,-0.972431,-0.162182
-0.128498,0.0312887,-0.614156,0.979764,-0.815405,-0.644045,1.09144,-0.297085,0.980835,2.6951,1.92439,0.295081,-0.383895,-0.0116549
0.420652,0.498333,0.135769,1.37326,-0.00919809,-0.671018,1.22992,0.345575,1.10115,2.44457,0.482433,0.975624,-0.240578,-0.626273
0.846947,1.48221,1.15676,1.53691,1.16693,-0.346578,2.3792,0.654255,1.4261,1.07267,-0.993058,1.2869,-0.205257,-0.395264
1.56258,1.62806,2.18046,0.369879,2.20067,0.221076,4.04482,1.62224,1.19131,1.13815,-1.03614,1.95798,0.419771,0.535571
2.69754,0.605795,2.14735,-1.07969,2.7584,0.490408,3.09467,2.84196,0.148647,1.50435,-0.123369,2.24042,1.33385,0.934171
3.27708,-0.576699,0.982054,-1.34316,2.87972,0.631335,0.0491531,3.73207,-0.520609,0.907824,-0.144548,2.0703,1.9344,0.960188
2.88967,-0.871318,0.270419,-0.561582,2.67433,0.871743,-1.52788,3.93549,-0.417293,0.126133,-0.633973,1.80937,2.03797,1.13755
1.52055,-0.107681,0.175052,0.145921,1.90545,0.981799,-1.33797,2.2841,-0.116735,-1.1886,-0.637339,0.652709,1.16416,1.32137
0.412206,1.03766,-0.258258,0.25901,1.27155,0.989923,0.613537,0.565588,0.686997,-1.62414,-0.366658,-0.611094,0.254945,1.75293
0.38585,1.22523,-0.422666,-0.913564,0.376944,0.589952,2.38164,-0.198497,0.884845,-0.910874,-0.347439,-1.50726,-0.108515,1.45444
1.28554,0.700842,0.115535,-1.75416,-0.503048,0.16499,3.07179,-0.223145,0.087904,-0.387382,-0.33561,-1.91495,-0.131338,0.180759
2.22368,0.0797133,0.637962,-1.28771,-0.392518,0.19711,2.63831,0.53131,-0.524736,0.0519047,-0.177123,-0.951518,-0.0294317,-0.639055
2.52274,-0.668795,1.08647,-0.392585,0.113241,0.274204,0.475872,1.28241,-0.784408,0.74824,-0.394651,0.786948,-0.0437526,-0.539789
2.73501,-0.531336,1.49354,1.07247,1.05331,0.470879,0.0392112,2.07849,-0.229202,1.46712,-0.999756,2.16721,0.0130005,0.231597
0.992914,0.377688,0.830064,1.3591,0.609113,0.344632,-0.489245,0.772708,0.48828,0.556278,-1.29132,1.64672,-0.601002,0.05807
-1.67729,0.678912,-0.55366,0.57821,-0.805614,-0.139584,-1.65409,-1.21234,0.406531,-0.568885,-0.380509,-0.117379,-0.890929,-0.699736
-1.32453,0.415089,-0.975431,0.0509475,-0.584634,-0.361463,-1.00825,-0.827752,-0.0590621,-0.505157,0.786442,-1.29036,-0.129488,-0.524278
0.9892,0.941823,-0.345662,-0.010505,0.837924,-0.208037,1.59809,0.751569,0.361285,0.456937,1.25897,-1.12845,0.782622,0.356169
0.626258,1.32456,-0.0763403,-0.378551,1.0121,-0.147458,3.37019,0.539005,0.904725,0.593368,1.28947,-0.673479,0.71824,1.02658
-1.98551,0.378835,-0.72333,-1.11984,-0.0410733,-0.284854,1.70553,-1.07335,0.070826,-0.804645,0.916669,-1.15814,-0.51656,0.748333
-3.04013,-0.721165,-1.21488,-0.867288,-0.801103,-0.374936,-1.18588,-1.12066,-1.12142,-1.48212,0.569421,-1.16254,-1.33328,0.0676537
-2.40177,-1.41029,-0.850606,-0.466587,-1.40169,-0.648551,-3.82393,-0.0577291,-1.68742,-1.86138,0.508032,-0.0842755,-0.758377,-0.232183
-1.80409,-1.52769,-0.363283,-0.93667,-1.40796,-0.911135,-5.33397,0.307881,-1.59296,-2.48275,0.385897,0.681292,0.226198,-0.401575
-2.02991,-0.787693,-0.296988,-1.39952,-1.10994,-0.809973,-4.75185,-0.761887,-0.98163,-2.07424,0.490329,0.381887,0.231503,-1.07434
-1.6512,0.03765,-0.194528,-0.381791,-0.561776,-0.269269,-1.3657,-1.34502,-0.3625,-0.593206,0.598639,-0.171167,0.111209,-1.47597
-0.918719,0.266673,0.0793499,0.529063,-0.40422,-0.201884,1.08108,-1.39343,-0.315573,0.387199,0.195341,-0.264804,-0.151329,-1.17492
-0.556606,0.62244,0.508241,0.827562,-0.292819,-0.576747,1.13247,-1.24695,-0.0391763,0.996395,0.189718,0.124183,-0.673592,-0.214763
0.106236,0.0537851,0.918097,0.748754,0.396575,-0.553809,0.101911,-0.405618,-0.13153,0.972804,-0.298641,-0.0310806,-0.385685,0.592525
0.424118,-1.51572,0.687127,-1.33647,0.175558,-0.531943,-2.41497,-0.376223,-1.15934,-0.605509,-1.80204,-1.1405,-0.221114,0.0461376
0.391731,-1.37755,0.0274491,-2.22077,-0.146531,-0.559579,-2.49208,-0.325054,-1.29497,-1.71388,-2.24121,-1.50951,-0.658876,-0.861837
-0.113651,-0.143994,-0.470318,-0.576168,-0.586287,-0.666368,-0.547629,-0.313949,-0.88382,-1.75751,-1.53031,-1.16413,-0.941462,-1.56298
-0.4281,0.446703,-0.681391,0.793643,-1.07457,-0.744065,1.03258,-0.237863,-0.477492,-0.943521,-0.76331,-0.967235,-0.803114,-1.84159
-0.489388,-0.216521,-0.863725,0.108747,-1.06704,-1.01947,0.238313,-0.171053,-0.448904,-0.53258,-0.110754,-1.12147,-0.774163,-1.69531
-1.27332,-1.64007,-1.1268,-1.27492,-1.04678,-1.16932,-2.96914,-0.852852,-0.948247,-1.53693,0.456127,-1.25914,-0.554101,-1.2779
-1.68157,-2.46987,-0.94557,-1.37172,-0.854182,-0.518466,-3.99637,-1.05583,-1.14558,-1.62655,0.513098,-0.689009,0.180418,-0.568939
-0.957865,-2.41447,-0.33249,-1.36604,-0.862581,0.0760606,-3.53185,-0.549293,-1.19087,-0.853041,-0.106122,-0.0709267,0.388193,0.0590301
0.591165,-1.78935,-0.0864962,-2.22034,-0.97405,0.453167,-2.94668,0.554693,-0.687329,0.0768244,-0.613883,0.202266,0.109424,0.843736
1.46094,-1.01425,-0.11988,-3.14891,-1.0473,0.589734,-1.24911,1.34947,-0.0282125,1.23918,-0.529724,0.519222,-0.0218647,0.976694
0.504112,-0.172441,-0.00163523,-1.4041,-0.864208,0.124214,0.482834,0.904374,0.0860887,1.32627,-0.0323651,0.725521,-0.436568,0.0702249
-0.882697,0.350573,0.251619,1.51219,-0.552289,-0.557682,1.36049,-0.0825657,-0.0995963,1.08458,0.690127,0.757205,-1.06717,-0.738955
-1.53735,0.000373027,0.509567,2.4665,-0.916692,-0.729428,1.68445,-0.76903,-0.657113,0.623897,0.660527,0.493402,-0.792938,-0.894824
-1.20726,-0.340849,0.365115,2.80232,-1.23441,-0.0317033,1.79849,-1.11649,-0.471816,-0.823359,0.258967,-0.26649,-0.111732,-0.35338
1.55022,0.440631,0.588626,2.88464,0.555154,1.43999,3.66203,0.824477,0.755895,-0.375551,0.292495,0.142184,0.806755,1.16065
5.07416,0.871281,1.52002,0.847152,2.57276,2.37576,4.20589,3.53082,0.868175,1.81356,-0.347853,1.41756,1.58636,2.31322
6.2534,0.966326,1.81176,-1.22257,3.18849,2.39119,2.41486,4.21544,0.767367,3.06297,-0.648628,2.11555,1.56997,2.29489
5.16025,1.45312,1.52201,-0.91816,3.32832,2.41374,2.03427,3.8062,1.54965,2.85625,-0.142264,2.50052,1.1538,2.13265
3.12077,1.2129,1.0568,0.162862,2.03836,1.99854,2.07048,2.23846,1.56198,1.10871,-0.0684891,1.6219,0.445713,1.65043
1.47832,0.647064,-0.0239902,1.70769,0.297444,1.29279,2.6549,0.514614,1.11351,-0.22901,-0.0570239,-0.103984,0.0722287,0.907958
0.0535264,0.0238598,-0.791981,1.67487,-0.88966,0.365963,2.60003,-0.837017,0.444867,0.281412,0.273486,-1.24068,0.124647,0.0207485
-0.849422,-0.407239,-0.586898,0.0418546,-1.04252,-0.309102,1.87282,-1.16704,-0.419227,1.69033,0.387266,-1.66946,0.958913,-0.670553
-0.706682,-0.61763,-0.450978,-0.559379,-0.525128,-0.106711,0.808781,-0.465613,-0.89541,1.99472,0.111136,-1.45234,1.4352,-0.664365
0.457218,-0.548004,-0.450188,-0.140534,-0.220649,0.452202,-0.373162,0.948721,-0.75182,1.04491,-0.262026,-0.443135,0.758877,0.167056
1.55593,0.344824,0.265425,0.366846,0.169235,0.796467,0.166597,2.42352,0.0782225,0.449329,-0.672421,0.716411,0.266539,1.19507
0.818328,1.58855,1.27329,0.0934483,0.386064,0.423157,1.13426,1.57382,1.12835,-0.100814,-0.786363,1.28195,-0.166641,1.18331
-0.968419,1.80209,0.979244,-0.0143347,0.903845,0.0842914,1.21473,-0.640416,1.5451,-1.3432,-0.319031,1.28517,-0.71559,0.822379
-1.47412,0.269192,-0.553502,-0.198239,1.16451,0.141161,-0.347529,-1.1102,0.730247,-2.2766,0.341401,0.717458,-0.673323,0.775227
