L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-1.07536,0.84792,0.128343,-1.49009,0.417962,-0.0597226,-1.85887,-2.66716,0.660424,-2.17592,-3.39339,0.607104,-0.40856,0.729237
0.496359,-0.0563577,0.109725,-1.42493,0.85081,0.138311,-0.37262,-1.2931,0.234194,-0.711786,-1.87193,0.371671,0.193209,0.623663
2.28226,-0.771489,0.120508,0.437377,1.34175,0.663294,3.45907,0.617158,-0.413637,1.85344,-0.958196,-0.22217,1.0432,0.927555
2.3527,-1.13187,0.25309,1.07369,1.24497,0.989281,5.95169,1.05481,-0.881918,2.63042,-1.92515,-0.892545,1.48559,1.03182
0.484668,-0.857469,0.253816,-0.300788,0.533698,0.657854,4.44156,0.562095,-0.475496,1.8054,-2.83924,-1.05591,1.27508,0.279066
-1.76297,-0.115575,0.257895,-1.46888,-0.0214315,0.0590545,1.30167,0.0727096,0.288046,0.697803,-2.3337,-0.652859,0.642354,-0.304896
-2.59577,0.475067,-0.110295,-1.20149,0.248422,-0.274958,-0.186608,-0.112997,0.915547,0.0225771,0.0752892,-0.298878,0.347449,-0.299237
-1.75813,0.37793,-0.633326,-0.49163,0.217052,-0.417276,-0.711455,0.283033,1.01734,-0.319862,2.67568,0.0732228,0.292333,-0.393862
-0.484789,-0.149833,-0.465634,0.194289,-0.48642,-0.585841,-1.59951,0.687168,0.567199,-0.494344,3.25707,0.248367,-0.042196,-0.632567
-0.074001,-0.282508,0.108795,0.583628,-0.9162,-0.460472,-3.38417,0.068,0.214269,-0.89872,2.00443,-0.410419,-0.517622,-0.632285
-0.308419,-0.311846,0.497224,-0.260827,-0.695758,-0.277121,-4.43062,-0.362946,-0.137598,-1.12316,-0.0665085,-0.661177,-0.590008,-0.545444
-0.386935,-0.680628,0.338256,-1.42667,-0.648358,-0.333878,-2.15641,0.676642,-0.394829,0.0488334,-0.60409,0.085365,-0.396909,-0.289836
-0.208061,-1.56037,-0.0466891,-1.52612,-0.887329,-0.26333,0.253507,2.29064,-0.535632,0.885322,1.02014,1.02449,-0.359831,0.390085
-0.134087,-1.45019,-0.134806,-0.447452,-0.6799,-0.303723,0.0507617,2.80779,-0.106613,-0.127019,2.55628,1.58375,-0.536226,0.583166
-0.0832962,0.0278513,0.0167747,0.58741,-0.587322,-0.322477,-1.20793,1.6414,0.578324,-1.26674,2.13666,1.16305,-0.814685,0.0966471
0.304466,1.12474,0.323629,0.52518,-0.568797,-0.117303,-1.75741,-0.0312253,0.239992,-1.55608,-0.388154,0.318654,-0.71617,-0.331818
0.923576,1.67846,0.495652,0.253087,-0.270765,-0.0873872,-1.59142,-1.22706,-0.473147,-1.84861,-1.89857,-0.421443,-0.531948,-0.545284
1.47323,1.23529,0.489512,-0.0940042,-0.123932,0.0779791,-0.921108,-2.04909,-1.40526,-1.64544,-1.98386,-1.34557,-0.325331,-0.232442
1.26017,0.263106,-0.0743207,-1.09048,0.199971,0.235549,0.293816,-3.1088,-2.16009,-0.747873,-2.76368,-2.50663,-0.0636842,0.0287792
