L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-2.72823,0.926887,0.124526,0.785418,0.18591,0.635025,4.33115,-2.25041,0.491847,1.22412,1.20346,-0.294369,1.29737,0.211471
-1.57617,0.683617,0.487045,-0.415282,-0.0982068,0.698739,2.13497,-1.22634,0.317232,0.453519,0.936033,-0.277254,0.00150942,0.452768
-0.369784,-0.121999,-0.102289,-1.62375,-0.37201,0.116586,-1.05068,-0.0309131,-0.135776,-0.292506,-0.0455196,-0.565222,-0.913807,0.258372
0.0552446,-0.206604,-0.230568,-1.11528,-0.550038,-0.140753,-2.07799,0.459244,0.214949,-0.22816,-0.630361,-0.398873,-0.763839,-0.0983232
0.902992,0.222941,0.515867,0.54664,-0.441722,0.175227,-1.06881,0.964413,0.708638,-0.190439,-0.219699,0.217088,-0.161035,-0.31748
2.3617,0.471552,0.967767,2.20752,-0.0739305,0.307383,1.387,1.45664,0.65856,0.178391,1.11985,0.996451,0.367666,-0.505806
2.97798,0.402567,0.927758,1.83635,0.459324,0.118669,2.48867,1.81386,0.257878,0.9676,1.69298,1.64094,0.392289,-0.480197
2.27221,-0.0373037,0.737665,-0.341318,0.692974,-0.0896316,1.11115,2.25171,0.0300514,1.46344,1.03584,1.90645,-0.0190713,-0.270674
1.14409,-0.441598,0.380672,-1.21086,0.299114,0.135311,-0.853651,2.19043,0.2883,1.00441,0.263308,1.88115,-0.243989,0.111016
-0.0278968,-0.506771,-0.401915,0.363296,-0.294188,0.35755,-1.42132,0.88142,0.402076,-0.0910698,0.5435,1.18087,-0.167878,0.321504
-1.19496,-0.220346,-1.07086,1.32937,-0.697491,-0.141925,-0.60268,-1.10068,0.127688,-0.45186,1.03724,-0.149559,-0.165435,-0.0789576
-1.70219,0.271642,-0.812893,-0.79732,-0.552646,-0.67125,-0.596286,-2.14778,-0.252125,-0.245488,-1.06485,-1.44457,-0.321934,-0.373656
-1.23277,0.0898718,-0.126819,-1.75764,-0.208707,-0.55223,-0.599804,-1.51102,-0.569009,-0.249637,-2.72533,-1.44135,-0.0905257,0.123597
0.00304924,-0.187658,0.0543667,0.756195,-0.0978317,-0.174311,0.00957723,-0.166957,-0.116125,0.328259,-0.724479,-0.292811,0.17786,0.272509
1.25519,0.471496,0.051315,2.31065,-0.105705,-0.0230738,0.0734777,0.36962,0.684504,0.857832,1.19502,0.232813,0.0791356,-0.0820955
1.32062,0.717992,0.0255853,0.688564,-0.656082,-0.181992,-0.926197,-0.0148458,0.438647,0.0137672,0.975434,-0.294828,-0.30067,-0.104371
0.709114,0.324684,-0.153621,-1.22665,-1.29502,-0.488719,-2.37798,-0.505861,-0.280798,-0.577447,-0.00568618,-0.735342,-0.821088,-0.0837255
0.344953,0.164373,-0.290603,-2.17724,-1.22798,-0.518551,-3.33334,-0.783294,-0.521122,-0.651367,-1.17405,-0.738498,-0.890479,-0.18742
0.263445,0.118645,-0.351803,-2.53301,-0.565404,0.0268494,-3.07259,-0.791417,-0.558069,-1.48354,-1.96176,-1.01841,-0.604122,-0.302312
0.110806,0.0124449,-0.500747,-1.87744,0.117828,0.565101,-1.26304,-0.696135,-0.500896,-2.53033,-1.57515,-1.35984,-0.404397,-0.459834
-0.493571,0.00995981,-0.596111,-0.701687,0.179174,0.449351,0.715314,-0.78256,-0.05286,-2.56449,-0.0316583,-1.1419,-0.690631,-0.65683
-0.584153,0.226247,-0.0080259,1.46005,-0.0289349,0.0468211,2.14639,-0.856624,0.41709,-0.715825,2.14114,-0.047898,-1.15459,-0.705468
-0.197914,0.404178,0.687316,2.76812,0.0564881,-0.269232,2.88003,-0.789704,0.485285,1.2489,3.08504,0.891088,-0.985643,-0.746075
-0.362637,0.238294,0.550212,1.58196,0.306046,-0.477938,2.51422,-0.891022,-0.00386486,1.40281,2.09147,0.63272,-0.399141,-0.768449
-0.510355,-0.107884,0.16838,0.0352343,0.518936,-0.38911,1.55897,-0.65201,-0.451362,0.885714,0.746058,0.142056,0.286222,-0.346807
0.0202879,-0.0840732,0.453409,-0.330801,0.728181,0.114413,-0.00684603,0.319056,-0.136924,0.325323,-0.678934,0.221495,0.884904,0.423974
0.75966,0.357569,1.40385,0.568581,0.80731,0.971043,-1.85626,0.989599,0.208712,-1.0705,-2.28458,0.432732,0.811643,1.05553
0.755451,0.54486,1.81784,1.64355,0.562828,1.44268,-3.1878,0.534752,0.0354005,-2.96055,-2.68073,0.331194,0.201795,1.18104
0.386344,0.17745,1.11568,1.78097,0.441531,1.03873,-3.12968,-0.279794,-0.168661,-3.33636,-1.74659,0.0956021,-0.270345,1.02832
0.352491,-0.361201,0.611268,1.9274,0.449128,0.25826,-0.496494,-0.218878,-0.292602,-1.13158,-0.0363346,0.320723,0.167549,0.892328
0.311436,-0.942143,0.596826,1.02306,0.248866,-0.17801,0.687753,0.500682,-0.733902,1.08025,0.556917,0.372117,0.814809,0.487817
0.649026,-1.24728,0.640176,0.114891,-0.0295714,-0.0961194,0.494913,1.32221,-0.971275,2.04815,0.0287829,0.191747,1.30052,0.175332
0.886816,-1.37105,0.0282005,0.454817,-0.238905,-0.172349,1.30236,2.18661,-1.00198,2.16193,0.00790264,0.024151,1.73738,0.0203114
0.174737,-1.04328,-1.23252,-0.706661,-0.0105404,-0.428758,1.21498,2.31301,-0.743612,1.58994,-0.543197,-0.777366,1.39274,-0.272762
-0.673875,-0.21204,-1.2126,-1.28949,0.214266,-0.412826,1.8177,1.5906,0.22822,1.51289,-0.194305,-0.906734,1.29271,-0.145413
-0.430573,0.213544,0.0218621,0.544606,-0.201604,-0.092562,2.25739,0.95745,1.05271,1.82565,1.94624,0.0550756,1.06412,0.184511
0.556498,1.0448,0.518572,2.27935,-0.179812,0.0801629,1.91937,0.740126,1.65569,1.90449,3.26989,0.568459,0.234417,0.0364327
