L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-1.22703,0.108341,1.02764,-3.36467,-1.29739,0.0066211,-1.57659,0.0191812,0.276127,0.167562,-1.59791,1.01506,-0.0315212,0.3044
-0.839368,-1.08007,-0.171701,-0.250028,-1.52441,-0.953248,-1.43762,0.152752,-1.1035,0.241995,0.407842,-0.194267,-0.149218,-0.0683201
-0.237307,0.571787,-0.690751,2.04922,-0.633083,-0.420452,-0.073157,0.243794,-0.293238,-0.458107,1.01374,-0.913579,-0.246304,-0.333568
0.251089,1.68033,-0.051886,1.22578,0.785429,0.716622,0.412004,0.258204,0.612162,-1.4904,0.0154691,-0.0284761,-0.500859,-0.105027
1.652,0.758194,0.473381,1.87708,3.21981,1.40413,0.75699,1.11683,0.372373,-1.53975,0.923389,0.593534,0.739847,0.894751
2.7523,0.105416,1.07736,1.35528,4.62583,1.51941,1.35759,1.68017,0.0493315,-1.0511,0.0567761,0.777897,1.43664,1.40171
1.92155,-1.36782,0.835873,-0.826304,2.6162,0.26005,0.909371,0.643071,-0.654656,-0.336874,-1.64401,0.460097,0.422572,0.307187
0.23425,-2.04222,-0.329507,-1.01978,-0.687425,-0.779455,-0.11689,-0.560779,-0.777798,0.979935,-0.799188,-0.133806,0.0292989,-0.986244
-0.943476,-0.715127,-0.860289,-0.437001,-2.60308,-0.64284,-0.684078,-1.25976,-0.0209556,2.26929,0.327891,-0.244729,-0.0522232,-1.23649
-1.60309,0.2982,-0.54118,-0.56434,-3.37509,-0.576785,-1.2003,-1.79328,0.547142,2.19198,0.665663,-0.038229,-0.873338,-0.892912
-1.94936,-0.265888,-0.197514,-0.82632,-3.82489,-0.773209,-1.6284,-1.81625,0.324507,0.773814,0.510934,0.190131,-1.61502,-0.541659
-1.50646,-0.840293,0.0770462,-1.12618,-3.90557,-0.597633,-1.29911,-1.20586,0.332077,-0.491077,-0.277182,0.351965,-1.39896,0.0311498
-0.117932,-0.408561,0.678092,-1.50937,-2.9661,0.0686457,-0.434199,0.0621422,0.805957,-0.506722,-0.859592,0.640195,-0.418866,0.654104
0.853744,-0.382348,0.608404,-0.816082,-1.48889,0.301416,0.0408931,0.993104,0.783187,0.263579,0.0426474,0.470774,0.340025,0.524583
0.565792,-0.660111,-0.294304,0.194985,-0.704305,-0.152921,0.198331,0.806637,0.350184,1.04717,0.811096,-0.0419919,0.283289,0.0531359
-0.952476,-0.369555,-1.51459,-0.277165,-0.902332,-0.874358,0.168084,-0.567451,-0.222834,1.39006,0.125411,-0.566267,0.000375684,-0.227207
-2.22343,0.563507,-2.04017,-1.71326,-0.824812,-1.36952,-0.25196,-1.83764,-0.344812,0.799026,-1.12158,-0.836767,-0.106204,-0.57004
-2.17176,0.846979,-1.29861,-2.9288,-0.33857,-1.85378,-1.32928,-1.88077,-0.22797,-1.02888,-1.81029,-0.536125,-0.314298,-1.13299
