L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
0.509632,-0.0131955,0.4504,1.6735,-0.272772,-0.237321,1.20276,0.608633,-0.289288,3.35669,2.9316,0.138924,2.76499,-0.294064
0.568686,0.594953,0.270277,0.565141,-0.931322,0.00162304,0.21567,-0.14796,0.136187,1.25116,0.470216,0.0674327,2.18659,0.439553
0.943488,-0.0161055,0.306432,0.354804,-1.28547,0.507733,-0.510526,0.239414,-0.0590302,-0.992983,-0.0814643,0.380574,0.830928,1.26789
1.10029,-0.457495,-0.0777883,1.57124,-0.0667375,0.537914,-0.649821,0.97994,0.102121,-1.87183,2.06435,-0.117471,-1.18389,0.511752
0.911275,-0.558497,-0.130411,1.96493,1.67794,-0.0504999,-0.218989,1.50475,-0.0124184,-1.39916,3.08808,-0.417825,-2.9829,-0.512532
-0.590867,-1.13768,-0.319008,-0.472157,1.82797,-0.792545,0.391066,0.628372,-1.16029,0.014855,0.478154,-0.198468,-2.5501,-1.01257
-2.58719,-0.485403,-1.01417,-3.33588,0.85643,-0.846415,0.0098964,-1.78382,-1.00888,-0.411396,-3.03495,-0.503146,-1.02661,-1.24237
-3.01495,0.498565,-1.6099,-3.60436,-0.289612,-0.337636,-0.931573,-3.17341,0.305828,-2.22089,-4.20083,-0.788861,0.270883,-1.23403
-1.46409,0.536779,-0.905741,-2.39753,-0.711498,0.516152,-0.503097,-2.40985,0.552582,-1.12991,-3.8613,0.00450913,1.38926,-0.52445
0.924732,0.519152,0.72415,-1.06599,-0.873566,0.80658,0.74239,-0.30629,1.04092,2.86061,-3.06149,0.937138,1.89417,0.452079
0.298246,0.382969,0.0532538,-0.594356,-1.6516,0.0171584,0.725291,-0.583853,1.4269,3.27143,-2.67553,-0.246257,0.374011,-0.116995
-1.81098,-0.190993,-1.38287,-0.524429,-1.13565,-0.949133,0.0446709,-1.49609,0.0537817,-0.506191,-1.33403,-1.11697,-1.38235,-1.20161
-0.591408,-0.256223,-0.160888,1.51627,0.560124,-1.17476,-0.0808746,1.41421,-0.91176,-1.72453,3.63388,0.768582,-0.829049,-0.289165
0.158689,-0.345127,0.172744,1.79419,0.91281,0.363008,-0.387241,2.0786,-0.535457,-1.68661,4.40765,0.330262,-0.621422,0.763819
-1.10354,-0.680118,-1.05771,-0.812765,-0.160537,1.54827,-1.29702,-1.12333,-0.510368,-2.28548,-1.24943,-1.67733,-0.0432371,0.165868
-1.10142,-0.293053,-0.724928,-2.13864,-0.803665,-0.302603,-1.07247,-1.75862,-1.0105,-0.457825,-3.88378,-0.46845,1.70929,-0.289648
0.679328,0.488583,0.273791,-0.566519,-0.373107,-1.55574,-0.109771,0.622132,0.00660965,1.0493,-0.853659,0.870952,1.85416,0.167952
2.47774,1.06635,1.03305,2.33525,0.138077,-0.0805958,0.845771,1.99583,1.17771,1.76333,3.57776,0.672045,1.17393,1.17417
