L_precuneus,L_supfrontal,L_angular,L_postcingulate,L_mPFC,L_midtemporal,L_antcingulate,R_precuneus,R_supfrontal,R_antcingulate,R_postcingulate,R_angular,R_mPFC,R_midtemporal
-2.08982,-0.816003,-0.690427,1.20561,-2.8892,-0.299133,-0.318098,-1.63818,0.139474,-1.6704,0.147955,-0.988872,-2.12918,-0.56959
-1.03256,-0.893047,-0.21245,0.365326,-1.95955,-0.226196,-1.79292,-1.23121,-0.22616,-2.03953,0.246089,-0.486593,-2.11412,-0.306981
0.736354,-0.018397,0.314713,-2.05071,-0.190657,-0.0448942,-2.34839,0.417045,-0.0927535,0.142673,-0.611855,0.322091,-0.142566,0.0612817
0.717729,0.347975,0.10148,-2.83584,0.633353,0.200271,-1.26772,1.06207,-0.0551439,1.65202,-0.632151,0.0429292,1.2783,0.507329
1.12958,0.513601,0.351321,-0.314986,1.55276,0.244973,0.749522,1.26203,-0.169246,1.48397,0.591081,0.419594,1.63392,0.522958
2.24277,1.11038,0.81131,2.6602,2.77455,0.442658,2.52442,1.09601,0.198013,0.490511,1.38184,0.921211,1.43441,0.320043
2.29172,1.49938,0.634868,3.00638,2.99176,0.873452,2.78669,0.735912,0.592794,-0.546986,1.25999,0.603218,1.0831,1.08567
0.982657,0.857439,0.199036,2.26617,1.65435,0.667383,2.15376,0.359174,0.240539,-1.04046,0.320502,-0.170995,0.519688,1.23627
-0.39947,0.379065,-0.0713098,1.96953,-0.045165,0.158547,1.46215,-0.222332,0.415013,-0.968762,0.0968547,0.00830277,0.0402268,0.581809
-0.438099,0.500461,0.115956,1.47105,-0.714604,0.0475875,0.89774,-0.0720661,1.03202,-0.13219,0.430264,0.880004,0.267056,0.103681
0.214274,0.209349,0.30034,1.4,0.177554,0.25337,1.37276,0.300327,0.413669,0.262556,0.737385,0.22347,0.45811,-0.0765968
1.29835,0.222749,0.333954,0.83677,1.4857,-0.0125508,1.78191,0.897762,-0.349971,0.869353,-0.0520331,-0.019967,1.2161,0.353584
